id,year,month,day,sol,sunlon,beta,vg,e,q,inc,peri_norm,node,orbit_d
06365,2011,4,26.40785,35.825258664969176,-150.76457514276842,6.341902690574261,37.3,0.941,0.086,19.8,332.3,35.7,0.11375629713973306
06505,2011,4,27.44616,36.83564324107923,-149.16704794562588,7.281588167215828,38.92,0.955,0.07,26.9,334.9,36.7,0.042357348423158664
058095,2012,4,27.44632,37.573125613327036,-148.93004458778785,6.7230360197543915,37.15,0.943,0.075,22.5,334.9,37.4,0.04603270676257393
058253,2012,4,28.43535,38.53467482692017,-150.03324814592838,7.00509126414782,39.82,0.961,0.069,26.5,334.3,38.4,0.0445281820897163
058294,2012,4,28.49972,38.597239213799895,-149.50999051304393,7.699146912857178,38.19,0.948,0.077,26.6,333.8,38.4,0.039180557201566595
058420,2012,4,29.50495,39.57400318615553,-151.249826342941,6.876974316705725,37.31,0.94,0.091,20.8,331.2,39.4,0.07508429446142115
