event_id,method,auprc,roc_auc,localization_error_seconds,within_0p15,within_0p30,within_0p60,top_1pct_recall,false_positive_burden,calibration_error
EDR003,nonlinear_invariant,0.47333333333333333,0.9317460317460317,0.02999999999999936,True,True,True,0.4,0.012916703234121564,0.007063380962760012
EDR003,sparse_invariant,0.18682916117698728,0.8793650793650793,5.1,False,False,False,0.2,0.03416481376394794,0.025791763902064384
EDR011,nonlinear_invariant,0.37953575695511177,0.9166666666666666,0.9300000000000006,False,False,False,0.3333333333333333,0.02411812876710967,0.018512130853406118
EDR011,sparse_invariant,0.4924002127127127,0.9,0.02999999999999936,True,True,True,0.3333333333333333,0.04780092598633339,0.04086123924449552
EDR017,nonlinear_invariant,0.5457644110275689,0.9791666666666667,0.14999999999999947,True,True,True,0.3333333333333333,0.014563788184081505,0.005588449930545818
EDR017,sparse_invariant,0.5596560846560846,0.9733333333333333,0.14999999999999947,True,True,True,0.3333333333333333,0.036634912572579795,0.029328194874348124
EDR018,nonlinear_invariant,0.42385231727336986,0.9301666666666667,2.4000000000000004,False,False,False,0.0,0.03313612613214213,0.023250997180166315
EDR018,sparse_invariant,0.542174185463659,0.9073333333333333,0.02999999999999936,True,True,True,0.3,0.05394198170903797,0.04149606932743818
EDR021,nonlinear_invariant,0.22622915033535218,0.9229508196721311,0.20999999999999996,False,True,True,0.1,0.01475141439229831,0.01734038693648888
EDR021,sparse_invariant,0.2481202644603973,0.8927868852459016,0.03000000000000025,True,True,True,0.1,0.03739941750163724,0.011274888157848509
EDR025,nonlinear_invariant,0.44981636011047776,0.9749174917491749,0.08999999999999986,True,True,True,0.4,0.018592487281965824,0.01501060810144526
EDR025,sparse_invariant,0.3392636792636793,0.9607260726072607,3.0600000000000005,False,False,False,0.1,0.038724619989200536,0.04077174025802452
EDR028,nonlinear_invariant,0.3904761904761905,0.9792857142857143,0.20999999999999996,False,True,True,0.14285714285714285,0.017486072156153287,0.003140522250750587
EDR028,sparse_invariant,0.859750566893424,0.9971428571428571,0.15000000000000036,False,True,True,0.42857142857142855,0.03817359158147604,0.04790931355756831
EDR034,nonlinear_invariant,0.359628884523224,0.8665,0.0,True,True,True,0.2,0.010670497364058625,0.020483372647369293
EDR034,sparse_invariant,0.38011454178427634,0.7093333333333334,0.0,True,True,True,0.2,0.025760972019205824,0.0057174069594667695
EDR035,nonlinear_invariant,0.4277777777777778,0.9385,0.2999999999999998,False,True,True,0.2,0.010893043724932785,0.020710109852037667
EDR035,sparse_invariant,0.8678571428571428,0.986,0.1800000000000006,False,True,True,0.4,0.02692543691612447,0.02745210111309315
EDR041,nonlinear_invariant,1.0,1.0,0.08999999999999986,True,True,True,0.8,0.014287199634706056,0.021998471273143524
EDR041,sparse_invariant,0.7434782608695651,0.9853333333333333,0.0,True,True,True,0.6,0.03214825748175922,0.03278181680945494
EDR064,nonlinear_invariant,0.4196501590186279,0.5988333333333333,0.0,True,True,True,0.4,0.009098937546070421,0.022073733557355743
EDR064,sparse_invariant,0.48375283975283967,0.8623333333333334,0.0,True,True,True,0.3,0.02296609811913474,0.007221708041021198
EDR066,nonlinear_invariant,0.8595191682910982,0.9807407407407407,0.0,True,True,True,0.4444444444444444,0.009607490929045524,0.01798348675358739
EDR066,sparse_invariant,0.9343434343434345,0.9951851851851852,0.02999999999999936,True,True,True,0.4444444444444444,0.021711667556812128,0.015860850218635536
