held_out_event,feature,coefficient,C
EDR018,D_e_normalized_abs,0.0,3.0
EDR018,E_prime_normalized,0.0,3.0
EDR018,E_parallel_fraction,0.0,3.0
EDR018,J_parallel_fraction,0.0,3.0
EDR018,J_parallel_fraction_abs,0.0,3.0
EDR018,J_perpendicular_fraction,0.0,3.0
EDR018,Q,0.06216283645620959,3.0
EDR018,pressure_anisotropy,0.0,3.0
EDR018,pressure_deviatoric_fraction,0.0,3.0
EDR018,eigenvalue_min_max_ratio,0.0,3.0
EDR018,eigenvalue_mid_max_ratio,0.0,3.0
EDR018,electron_beta,0.0397016136792287,3.0
EDR018,thermal_current_fraction,0.6419281301400911,3.0
EDR019,D_e_normalized,0.0,3.0
EDR019,D_e_normalized_abs,0.0,3.0
EDR019,E_prime_normalized,0.0,3.0
EDR019,E_parallel_fraction,0.0,3.0
EDR019,J_parallel_fraction,0.0,3.0
EDR019,J_parallel_fraction_abs,0.0,3.0
EDR019,J_perpendicular_fraction,0.0,3.0
EDR019,Q,0.08172505091013417,3.0
EDR019,pressure_anisotropy,0.0,3.0
EDR019,pressure_deviatoric_fraction,0.0,3.0
EDR019,eigenvalue_min_max_ratio,0.0,3.0
EDR019,eigenvalue_mid_max_ratio,0.0,3.0
EDR019,electron_beta,0.037083120654741876,3.0
EDR019,thermal_current_fraction,0.5769641979429666,3.0
EDR020,D_e_normalized,0.0,3.0
EDR020,D_e_normalized_abs,0.0,3.0
EDR020,E_prime_normalized,0.0,3.0
EDR020,E_parallel_fraction,0.0,3.0
EDR020,J_parallel_fraction,0.0,3.0
EDR020,J_parallel_fraction_abs,0.0,3.0
EDR020,J_perpendicular_fraction,0.0,3.0
EDR020,Q,0.0618589209164991,3.0
EDR020,pressure_anisotropy,0.0,3.0
EDR020,pressure_deviatoric_fraction,0.0,3.0
EDR020,eigenvalue_min_max_ratio,0.0,3.0
EDR020,eigenvalue_mid_max_ratio,0.0,3.0
EDR020,electron_beta,0.03904299229701687,3.0
EDR020,thermal_current_fraction,0.633759454367416,3.0
EDR021,D_e_normalized,0.0,3.0
EDR021,D_e_normalized_abs,0.0,3.0
EDR021,E_prime_normalized,0.0,3.0
EDR021,E_parallel_fraction,0.0,3.0
EDR021,J_parallel_fraction,0.0,3.0
EDR021,J_parallel_fraction_abs,0.0,3.0
EDR021,J_perpendicular_fraction,0.0,3.0
EDR021,Q,0.06422313448833379,3.0
EDR021,pressure_anisotropy,0.0,3.0
EDR021,pressure_deviatoric_fraction,0.0,3.0
EDR021,eigenvalue_min_max_ratio,0.0,3.0
EDR021,eigenvalue_mid_max_ratio,0.0,3.0
EDR021,electron_beta,0.0457226018252635,3.0
EDR021,thermal_current_fraction,0.657379909022414,3.0
EDR022,D_e_normalized,0.0,3.0
