event_id,method,auprc,roc_auc,localization_error_seconds,within_0p15,within_0p30,within_0p60,top_1pct_recall,false_positive_burden,calibration_error,center_shift_seconds
EDR007,sparse_invariant,0.6536366475602585,0.7994132746607994,0.02999999999999936,True,True,True,0.4444444444444444,0.028840366914729923,0.026952542784813717,-0.03
EDR011,baseline:D_e_abs,0.24279007377598927,0.81438127090301,0.7800000000000002,False,False,False,0.25,,,-0.03
EDR011,baseline:D_e_normalized,0.014270387679837036,0.4448160535117057,1.5599999999999996,False,False,False,0.0,,,-0.03
EDR011,baseline:D_e_positive,0.17326732673267325,0.5777591973244147,0.7800000000000002,False,False,False,0.25,,,-0.03
EDR011,baseline:E_parallel_abs,0.06805947675512893,0.8645484949832776,5.46,False,False,False,0.0,,,-0.03
EDR011,baseline:E_prime_magnitude,0.2189722042663219,0.9448160535117056,0.75,False,False,False,0.25,,,-0.03
EDR011,baseline:J_magnitude,0.8026315789473684,0.9874581939799332,0.02999999999999936,True,True,True,0.75,,,-0.03
EDR011,baseline:Q,0.5185897435897435,0.9891304347826088,0.7800000000000002,False,False,False,0.5,,,-0.03
EDR011,baseline:pressure_anisotropy_abs,0.012880034921684116,0.38963210702341133,5.85,False,False,False,0.0,,,-0.03
EDR011,nonlinear_invariant,0.8928571428571428,0.9974916387959866,0.02999999999999936,True,True,True,0.75,0.030162047487817093,0.03189398478123157,-0.03
EDR011,sparse_invariant,0.7055555555555555,0.9866220735785953,0.02999999999999936,True,True,True,0.5,0.04583105821362628,0.04496829847006662,-0.03
EDR013,baseline:D_e_abs,0.134274054801867,0.7146042363433668,5.34,False,False,False,0.0,,,-0.03
EDR013,baseline:D_e_normalized,0.03633781894015481,0.5752508361204014,3.99,False,False,False,0.0,,,-0.03
EDR013,baseline:D_e_positive,0.1659343198558885,0.7398736529171313,5.34,False,False,False,0.0,,,-0.03
EDR013,baseline:E_parallel_abs,0.17108599927529172,0.728725380899294,0.08999999999999986,True,True,True,0.1111111111111111,,,-0.03
EDR013,baseline:E_prime_magnitude,0.10440529170239315,0.8093645484949833,5.4,False,False,False,0.0,,,-0.03
EDR013,baseline:J_magnitude,0.1694742006311023,0.9070977331846897,2.73,False,False,False,0.0,,,-0.03
EDR013,baseline:Q,0.8770180436847106,0.9951690821256038,0.41999999999999993,False,False,True,0.4444444444444444,,,-0.03
