event_id,method,auprc,roc_auc,localization_error_seconds,within_0p15,within_0p30,within_0p60,top_1pct_recall,false_positive_burden,calibration_error
EDR028,baseline:Q,0.02753761575553708,0.4442857142857143,2.16,False,False,False,0.0,,
EDR028,baseline:pressure_anisotropy_abs,0.021536792816594114,0.40428571428571425,1.7699999999999996,False,False,False,0.0,,
EDR034,baseline:D_e_abs,0.4041122782509542,0.8526666666666667,0.02999999999999936,True,True,True,0.2,,
EDR034,baseline:D_e_normalized,0.05494326897964642,0.6813333333333333,2.1,False,False,False,0.0,,
EDR034,baseline:D_e_positive,0.37289895219531516,0.8325,0.02999999999999936,True,True,True,0.2,,
EDR034,baseline:E_parallel_abs,0.42228922834939486,0.7323333333333334,0.0,True,True,True,0.3,,
EDR034,baseline:E_prime_magnitude,0.2747360466074496,0.7796666666666666,0.02999999999999936,True,True,True,0.2,,
EDR034,baseline:J_magnitude,0.5469516216634548,0.7516666666666667,0.0,True,True,True,0.4,,
EDR034,baseline:Q,0.0793874637974282,0.7606666666666666,0.5099999999999998,False,False,True,0.0,,
EDR034,baseline:pressure_anisotropy_abs,0.45789734340092664,0.6406666666666667,0.08999999999999986,True,True,True,0.4,,
EDR035,baseline:D_e_abs,0.4783909334608907,0.8943333333333334,0.02999999999999936,True,True,True,0.4,,
EDR035,baseline:D_e_normalized,0.042136695554932435,0.502,5.58,False,False,False,0.0,,
EDR035,baseline:D_e_positive,0.23837011884550086,0.472,0.02999999999999936,True,True,True,0.2,,
EDR035,baseline:E_parallel_abs,0.6241680812412519,0.894,0.02999999999999936,True,True,True,0.3,,
EDR035,baseline:E_prime_magnitude,0.48006789946938644,0.8396666666666666,0.02999999999999936,True,True,True,0.3,,
EDR035,baseline:J_magnitude,0.7269279081574163,0.9736666666666667,0.0,True,True,True,0.4,,
EDR035,baseline:Q,0.48450113378684806,0.9033333333333333,0.1800000000000006,False,True,True,0.3,,
EDR035,baseline:pressure_anisotropy_abs,0.32955421667748364,0.9046666666666667,0.2400000000000002,False,True,True,0.2,,
EDR041,baseline:D_e_abs,0.2731143366437484,0.9486666666666667,2.64,False,False,False,0.2,,
EDR041,baseline:D_e_normalized,0.026131097873290526,0.5973333333333334,4.529999999999999,False,False,False,0.0,,
EDR041,baseline:D_e_positive,0.4760059612518629,0.845,0.0,True,True,True,0.4,,
EDR041,baseline:E_parallel_abs,0.11607898204008044,0.8973333333333333,1.9500000000000002,False,False,False,0.0,,
EDR041,baseline:E_prime_magnitude,0.06245967245967246,0.7886666666666667,2.16,False,False,False,0.0,,
EDR041,baseline:J_magnitude,1.0,1.0,0.0,True,True,True,0.8,,
EDR041,baseline:Q,0.1562026862026862,0.8786666666666667,0.41999999999999993,False,False,True,0.2,,
EDR041,baseline:pressure_anisotropy_abs,0.029000957176794497,0.6806666666666666,0.96,False,False,False,0.0,,
EDR054,baseline:D_e_abs,0.4257545341368871,0.901311475409836,0.9899999999999993,False,False,False,0.3,,
EDR054,baseline:D_e_normalized,0.08876450015281723,0.6137704918032787,0.3899999999999997,False,False,True,0.0,,
EDR054,baseline:D_e_positive,0.44580280830280833,0.6849180327868852,0.08999999999999986,True,True,True,0.3,,
EDR054,baseline:E_parallel_abs,0.10336643873029022,0.6655737704918032,0.7199999999999998,False,False,False,0.0,,
EDR054,baseline:E_prime_magnitude,0.14196395463019504,0.7990163934426229,1.5,False,False,False,0.0,,
EDR054,baseline:J_magnitude,0.9999999999999999,1.0,0.0,True,True,True,0.4,,
EDR054,baseline:Q,0.6439612885037687,0.9055737704918032,0.03000000000000025,True,True,True,0.4,,
EDR054,baseline:pressure_anisotropy_abs,0.8672268907563024,0.9924590163934426,0.0,True,True,True,0.4,,
EDR060,baseline:D_e_abs,0.06226303183222716,0.6445901639344263,0.6899999999999995,False,False,False,0.0,,
EDR060,baseline:D_e_normalized,0.017596934963320057,0.4819672131147541,4.5,False,False,False,0.0,,
EDR060,baseline:D_e_positive,0.06194848162590099,0.6632786885245903,0.75,False,False,False,0.0,,
EDR060,baseline:E_parallel_abs,0.019902524464798073,0.43016393442622947,2.7,False,False,False,0.0,,
EDR060,baseline:E_prime_magnitude,0.02060240377407885,0.5278688524590164,1.92,False,False,False,0.0,,
EDR060,baseline:J_magnitude,0.288847837985769,0.9711475409836066,0.6299999999999999,False,False,False,0.0,,
EDR060,baseline:Q,0.016666267446420205,0.45442622950819667,3.5700000000000003,False,False,False,0.0,,
EDR060,baseline:pressure_anisotropy_abs,0.01232782565806552,0.24262295081967214,3.5700000000000003,False,False,False,0.0,,
EDR064,baseline:D_e_abs,0.5443701117709817,0.9163333333333333,0.0,True,True,True,0.4,,
EDR064,baseline:D_e_normalized,0.13108958486598637,0.764,1.3500000000000005,False,False,False,0.0,,
EDR064,baseline:D_e_positive,0.5635311378865123,0.8845,0.0,True,True,True,0.4,,
EDR064,baseline:E_parallel_abs,0.47468769780221104,0.8493333333333334,0.02999999999999936,True,True,True,0.3,,
EDR064,baseline:E_prime_magnitude,0.16550029707216288,0.8256666666666668,3.1500000000000004,False,False,False,0.1,,
EDR064,baseline:J_magnitude,0.5547860993194528,0.8706666666666668,0.0,True,True,True,0.3,,
EDR064,baseline:Q,0.4449409094022706,0.783,0.02999999999999936,True,True,True,0.3,,
EDR064,baseline:pressure_anisotropy_abs,0.08309697955952558,0.5636666666666666,0.47999999999999954,False,False,True,0.0,,
EDR066,baseline:D_e_abs,0.8521604938271605,0.9862962962962963,0.0,True,True,True,0.4444444444444444,,
