event_id,trial,feature,maximum_relative_discrepancy
EDR001,6,eigenvalue_mid_max_ratio,1.875695202593272e-15
EDR001,6,electron_beta,1.1454798988707887e-15
EDR001,6,thermal_current_fraction,2.9356130068203548e-15
EDR001,7,D_e_normalized,3.623876433197791e-13
EDR001,7,D_e_normalized_abs,3.623876433197791e-13
EDR001,7,E_prime_normalized,1.6348356154560565e-14
EDR001,7,E_parallel_fraction,2.882536665366111e-12
EDR001,7,J_parallel_fraction,2.2410342280295726e-14
EDR001,7,J_parallel_fraction_abs,2.2410342280295726e-14
EDR001,7,J_perpendicular_fraction,4.284861965942153e-15
EDR001,7,Q,4.781002128969276e-11
EDR001,7,pressure_anisotropy,5.5139926595048375e-12
EDR001,7,pressure_deviatoric_fraction,3.601295002307566e-14
EDR001,7,eigenvalue_min_max_ratio,1.5232653322803557e-15
EDR001,7,eigenvalue_mid_max_ratio,1.827871183655049e-15
EDR001,7,electron_beta,7.784530951124673e-16
EDR001,7,thermal_current_fraction,2.30493034552438e-15
EDR001,8,D_e_normalized,4.1991530762835483e-13
EDR001,8,D_e_normalized_abs,4.1991530762835483e-13
EDR001,8,E_prime_normalized,1.4899100915520964e-14
EDR001,8,E_parallel_fraction,3.2015976806644947e-12
EDR001,8,J_parallel_fraction,2.1701154233451412e-14
EDR001,8,J_parallel_fraction_abs,2.1701154233451412e-14
EDR001,8,J_perpendicular_fraction,4.860060389175983e-15
EDR001,8,Q,1.1057411389796778e-10
EDR001,8,pressure_anisotropy,4.135494494611526e-12
EDR001,8,pressure_deviatoric_fraction,3.5707967347264175e-14
EDR001,8,eigenvalue_min_max_ratio,1.6387338647579956e-15
EDR001,8,eigenvalue_mid_max_ratio,1.962858527013627e-15
EDR001,8,electron_beta,7.830697429982289e-16
EDR001,8,thermal_current_fraction,3.354986293508987e-15
EDR001,9,D_e_normalized,2.869054850550959e-13
EDR001,9,D_e_normalized_abs,2.869054850550959e-13
EDR001,9,E_prime_normalized,4.099669729580671e-15
EDR001,9,E_parallel_fraction,6.651720636949543e-13
EDR001,9,J_parallel_fraction,2.821872656697063e-14
EDR001,9,J_parallel_fraction_abs,2.821872656697063e-14
EDR001,9,J_perpendicular_fraction,5.344245315774469e-15
EDR001,9,Q,7.371607593197852e-11
EDR001,9,pressure_anisotropy,8.270988989188846e-12
EDR001,9,pressure_deviatoric_fraction,2.395670357987313e-14
EDR001,9,eigenvalue_min_max_ratio,1.2533083936202785e-15
EDR001,9,eigenvalue_mid_max_ratio,1.3419573963433484e-15
EDR001,9,electron_beta,6.643223780681045e-16
EDR001,9,thermal_current_fraction,2.3908813037828082e-15
EDR001,10,D_e_normalized,1.7636534572651162e-13
EDR001,10,D_e_normalized_abs,1.7636534572651162e-13
EDR001,10,E_prime_normalized,8.00460590791733e-15
EDR001,10,E_parallel_fraction,6.404739292054274e-13
EDR001,10,J_parallel_fraction,2.567260729578173e-14
EDR001,10,J_parallel_fraction_abs,2.567260729578173e-14
EDR001,10,J_perpendicular_fraction,1.2184879319965789e-14
EDR001,10,Q,1.1662094853611464e-10
EDR001,10,pressure_anisotropy,4.560025818929471e-13
EDR001,10,pressure_deviatoric_fraction,2.5645778897761436e-14
EDR001,10,eigenvalue_min_max_ratio,1.808708258954963e-15
EDR001,10,eigenvalue_mid_max_ratio,1.6601286558443425e-15
EDR001,10,electron_beta,6.909611469810379e-16
EDR001,10,thermal_current_fraction,2.822821030336209e-15
EDR001,11,D_e_normalized,5.822583617140537e-13
EDR001,11,D_e_normalized_abs,5.822583617140537e-13
EDR001,11,E_prime_normalized,1.5707151215535895e-14
EDR001,11,E_parallel_fraction,1.625893229464709e-12
EDR001,11,J_parallel_fraction,1.1960254968782254e-14
EDR001,11,J_parallel_fraction_abs,1.1960254968782254e-14
EDR001,11,J_perpendicular_fraction,8.550792505239078e-15
EDR001,11,Q,1.1662094853611464e-10
EDR001,11,pressure_anisotropy,4.135494494611526e-12
EDR001,11,pressure_deviatoric_fraction,3.579468971990551e-14
EDR001,11,eigenvalue_min_max_ratio,1.3037573399240238e-15
EDR001,11,eigenvalue_mid_max_ratio,1.6824425548271177e-15
EDR001,11,electron_beta,7.263635221173576e-16
EDR001,11,thermal_current_fraction,3.5678765103065345e-15
EDR001,12,D_e_normalized,3.383872483375369e-13
EDR001,12,D_e_normalized_abs,3.383872483375369e-13
EDR001,12,E_prime_normalized,3.361856519988494e-14
EDR001,12,E_parallel_fraction,5.44325643288349e-12
EDR001,12,J_parallel_fraction,1.4498785766720586e-14
EDR001,12,J_parallel_fraction_abs,1.4498785766720586e-14
EDR001,12,J_perpendicular_fraction,3.092765702202913e-15
EDR001,12,Q,5.831047426805732e-11
EDR001,12,pressure_anisotropy,8.270988989188846e-12
EDR001,12,pressure_deviatoric_fraction,4.848598643088149e-14
EDR001,12,eigenvalue_min_max_ratio,1.6168566480366751e-15
EDR001,12,eigenvalue_mid_max_ratio,1.6726855735675581e-15
EDR001,12,electron_beta,8.580267633662056e-16
EDR001,12,thermal_current_fraction,1.452202307268239e-15
EDR001,13,D_e_normalized,2.0494306378400624e-13
EDR001,13,D_e_normalized_abs,2.0494306378400624e-13
EDR001,13,E_prime_normalized,1.0523079823625363e-14
EDR001,13,E_parallel_fraction,2.2411441086388783e-12
EDR001,13,J_parallel_fraction,6.850756532520467e-14
EDR001,13,J_parallel_fraction_abs,6.850756532520467e-14
EDR001,13,J_perpendicular_fraction,5.0300553513233966e-15
EDR001,13,Q,7.514726508512628e-11
EDR001,13,pressure_anisotropy,2.453957839898225e-12
EDR001,13,pressure_deviatoric_fraction,3.220129580239381e-14
EDR001,13,eigenvalue_min_max_ratio,1.2850160272910549e-15
EDR001,13,eigenvalue_mid_max_ratio,1.4706456797325437e-15
EDR001,13,electron_beta,7.784530951124673e-16
EDR001,13,thermal_current_fraction,3.807913071585155e-15
EDR001,14,D_e_normalized,5.198099896043826e-13
EDR001,14,D_e_normalized_abs,5.198099896043826e-13
EDR001,14,E_prime_normalized,3.5891218684149504e-14
EDR001,14,E_parallel_fraction,7.043540629640643e-12
EDR001,14,J_parallel_fraction,2.373363095367672e-14
EDR001,14,J_parallel_fraction_abs,2.373363095367672e-14
EDR001,14,J_perpendicular_fraction,1.1667918084107143e-14
EDR001,14,Q,7.888686819062837e-11
EDR001,14,pressure_anisotropy,4.135494494611526e-12
EDR001,14,pressure_deviatoric_fraction,4.605629835510281e-14
EDR001,14,eigenvalue_min_max_ratio,1.7040115786399787e-15
EDR001,14,eigenvalue_mid_max_ratio,1.5386916407813315e-15
EDR001,14,electron_beta,9.775405935303472e-16
EDR001,14,thermal_current_fraction,2.7259263634760445e-15
EDR001,15,D_e_normalized,1.5417432548831266e-13
EDR001,15,D_e_normalized_abs,1.5417432548831266e-13
EDR001,15,E_prime_normalized,2.0623153441946913e-14
EDR001,15,E_parallel_fraction,1.710577281374532e-12
EDR001,15,J_parallel_fraction,4.7373761529231555e-14
EDR001,15,J_parallel_fraction_abs,4.7373761529231555e-14
EDR001,15,J_perpendicular_fraction,5.344245315774469e-15
EDR001,15,Q,1.0162707603571157e-10
EDR001,15,pressure_anisotropy,7.122238749067381e-13
EDR001,15,pressure_deviatoric_fraction,4.7582520845210626e-14
EDR001,15,eigenvalue_min_max_ratio,1.843575597852745e-15
EDR001,15,eigenvalue_mid_max_ratio,1.6621137352210854e-15
EDR001,15,electron_beta,7.957420367334438e-16
EDR001,15,thermal_current_fraction,3.3549862935089756e-15
EDR001,16,D_e_normalized,4.296253910944514e-13
EDR001,16,D_e_normalized_abs,4.296253910944514e-13
EDR001,16,E_prime_normalized,1.9918686809004754e-14
EDR001,16,E_parallel_fraction,3.2014690197707212e-12
EDR001,16,J_parallel_fraction,3.7586966482775324e-14
EDR001,16,J_parallel_fraction_abs,3.7586966482775324e-14
EDR001,16,J_perpendicular_fraction,8.910046536954545e-15
EDR001,16,Q,7.514726508512628e-11
EDR001,16,pressure_anisotropy,1.6290406173800573e-12
EDR001,16,pressure_deviatoric_fraction,3.5818126952181696e-14
EDR001,16,eigenvalue_min_max_ratio,1.6070030328682607e-15
EDR001,16,eigenvalue_mid_max_ratio,1.4623781185604547e-15
EDR001,16,electron_beta,7.567143633735094e-16
EDR001,16,thermal_current_fraction,2.2934547656024193e-15
EDR001,17,D_e_normalized,2.676685272448167e-13
EDR001,17,D_e_normalized_abs,2.676685272448167e-13
EDR001,17,E_prime_normalized,8.486096338117277e-15
EDR001,17,E_parallel_fraction,6.404739292054274e-13
EDR001,17,J_parallel_fraction,2.907670992063667e-14
EDR001,17,J_parallel_fraction_abs,2.907670992063667e-14
EDR001,17,J_perpendicular_fraction,4.471160312287464e-15
EDR001,17,Q,1.0373024224916974e-10
EDR001,17,pressure_anisotropy,2.453957839898225e-12
EDR001,17,pressure_deviatoric_fraction,1.787236737640179e-14
EDR001,17,eigenvalue_min_max_ratio,1.4099719428228133e-15
EDR001,17,eigenvalue_mid_max_ratio,1.4545536183939542e-15
EDR001,17,electron_beta,8.454154811745531e-16
EDR001,17,thermal_current_fraction,2.905957088432592e-15
EDR001,18,D_e_normalized,2.3967099689550483e-13
EDR001,18,D_e_normalized_abs,2.3967099689550483e-13
EDR001,18,E_prime_normalized,1.3690902092162542e-14
EDR001,18,E_parallel_fraction,3.6962296162134475e-13
EDR001,18,J_parallel_fraction,4.297679563879593e-14
EDR001,18,J_parallel_fraction_abs,4.297679563879593e-14
EDR001,18,J_perpendicular_fraction,5.985554753667405e-15
EDR001,18,Q,6.775138402380771e-11
EDR001,18,pressure_anisotropy,6.892490824381047e-12
EDR001,18,pressure_deviatoric_fraction,1.9385556262787924e-14
EDR001,18,eigenvalue_min_max_ratio,1.2839346711799765e-15
EDR001,18,eigenvalue_mid_max_ratio,1.3097022941153889e-15
EDR001,18,electron_beta,5.909735962679401e-16
EDR001,18,thermal_current_fraction,2.1517931734045328e-15
EDR001,19,D_e_normalized,1.46154615208523e-13
EDR001,19,D_e_normalized_abs,1.46154615208523e-13
EDR001,19,E_prime_normalized,7.657483872112398e-15
EDR001,19,E_parallel_fraction,1.108682300835357e-12
EDR001,19,J_parallel_fraction,1.7729119865110908e-14
EDR001,19,J_parallel_fraction_abs,1.7729119865110908e-14
EDR001,19,J_perpendicular_fraction,5.564227039062561e-15
EDR001,19,Q,6.915349483277983e-11
EDR001,19,pressure_anisotropy,4.135494494611526e-12
EDR001,19,pressure_deviatoric_fraction,2.4235010329552003e-14
EDR001,19,eigenvalue_min_max_ratio,1.4123281382979742e-15
EDR001,19,eigenvalue_mid_max_ratio,1.3882372679312613e-15
EDR001,19,electron_beta,8.454154811745531e-16
EDR001,19,thermal_current_fraction,3.038669507692084e-15
EDR001,20,D_e_normalized,2.801167290366009e-13
EDR001,20,D_e_normalized_abs,2.801167290366009e-13
EDR001,20,E_prime_normalized,9.47371219059271e-15
EDR001,20,E_parallel_fraction,1.256456851870736e-12
EDR001,20,J_parallel_fraction,2.7658333826947112e-14
EDR001,20,J_parallel_fraction_abs,2.7658333826947112e-14
EDR001,20,J_perpendicular_fraction,9.86739533559977e-15
EDR001,20,Q,7.514726508512628e-11
EDR001,20,pressure_anisotropy,2.443560926070086e-12
EDR001,20,pressure_deviatoric_fraction,4.885674954734154e-14
EDR001,20,eigenvalue_min_max_ratio,1.2533083936202785e-15
EDR001,20,eigenvalue_mid_max_ratio,1.3449840823427708e-15
EDR001,20,electron_beta,6.832923574123754e-16
EDR001,20,thermal_current_fraction,2.7259263634760516e-15
EDR001,21,D_e_normalized,3.9424577517731745e-13
EDR001,21,D_e_normalized_abs,3.9424577517731745e-13
EDR001,21,E_prime_normalized,2.66835238384786e-14
EDR001,21,E_parallel_fraction,5.442870450172544e-12
EDR001,21,J_parallel_fraction,1.9434542623476152e-14
EDR001,21,J_parallel_fraction_abs,1.9434542623476152e-14
EDR001,21,J_perpendicular_fraction,5.091455163974e-15
EDR001,21,Q,1.1057411389796778e-10
EDR001,21,pressure_anisotropy,8.145203086893652e-13
EDR001,21,pressure_deviatoric_fraction,6.200553174741378e-14
EDR001,21,eigenvalue_min_max_ratio,1.6464901546811886e-15
EDR001,21,eigenvalue_mid_max_ratio,1.8995585545383834e-15
EDR001,21,electron_beta,8.817774026801832e-16
EDR001,21,thermal_current_fraction,3.6088586550460445e-15
EDR001,22,D_e_normalized,1.496928088727884e-13
EDR001,22,D_e_normalized_abs,1.496928088727884e-13
EDR001,22,E_prime_normalized,1.4266702038607114e-14
EDR001,22,E_parallel_fraction,9.604535720196711e-13
EDR001,22,J_parallel_fraction,1.5809153185086908e-14
EDR001,22,J_parallel_fraction_abs,1.5809153185086908e-14
EDR001,22,J_perpendicular_fraction,7.425038780795399e-15
EDR001,22,Q,1.0373024224916974e-10
EDR001,22,pressure_anisotropy,6.892490824381047e-12
EDR001,22,pressure_deviatoric_fraction,1.9773861158825455e-14
EDR001,22,eigenvalue_min_max_ratio,1.4598659022300178e-15
EDR001,22,eigenvalue_mid_max_ratio,1.79331210979036e-15
EDR001,22,electron_beta,8.645681426825577e-16
EDR001,22,thermal_current_fraction,3.354986293508987e-15
EDR001,23,D_e_normalized,5.518239494102016e-13
EDR001,23,D_e_normalized_abs,5.518239494102016e-13
EDR001,23,E_prime_normalized,1.6697865814433775e-14
EDR001,23,E_parallel_fraction,1.921035804931271e-12
EDR001,23,J_parallel_fraction,7.077696707510776e-14
EDR001,23,J_parallel_fraction_abs,7.077696707510776e-14
EDR001,23,J_perpendicular_fraction,3.847856627357617e-15
EDR001,23,Q,1.1662094853611464e-10
EDR001,23,pressure_anisotropy,2.7569963297524188e-12
EDR001,23,pressure_deviatoric_fraction,7.605668135338129e-14
EDR001,23,eigenvalue_min_max_ratio,1.7376461167914312e-15
EDR001,23,eigenvalue_mid_max_ratio,1.9112113885462302e-15
EDR001,23,electron_beta,8.454154811745531e-16
EDR001,23,thermal_current_fraction,3.4227719873500587e-15
EDR001,24,D_e_normalized,2.490816375421955e-13
EDR001,24,D_e_normalized_abs,2.490816375421955e-13
EDR001,24,E_prime_normalized,1.691209257368362e-14
EDR001,24,E_parallel_fraction,2.4011982604926052e-12
EDR001,24,J_parallel_fraction,5.233807785714478e-14
EDR001,24,J_parallel_fraction_abs,5.233807785714478e-14
EDR001,24,J_perpendicular_fraction,4.9367642890774526e-15
EDR001,24,Q,7.371607593197852e-11
EDR001,24,pressure_anisotropy,2.7569963297524188e-12
EDR001,24,pressure_deviatoric_fraction,3.2712427481796885e-14
EDR001,24,eigenvalue_min_max_ratio,1.4890412809922452e-15
EDR001,24,eigenvalue_mid_max_ratio,1.7053278769660114e-15
EDR001,24,electron_beta,8.454154811745531e-16
EDR001,24,thermal_current_fraction,2.869057564539369e-15
EDR001,25,D_e_normalized,1.4396779546158394e-13
EDR001,25,D_e_normalized_abs,1.4396779546158394e-13
EDR001,25,E_prime_normalized,1.1025211910905002e-14
EDR001,25,E_parallel_fraction,1.2806905366233075e-12
EDR001,25,J_parallel_fraction,4.304158231578665e-14
