event_id,method,auprc,roc_auc,localization_error_seconds,within_0p15,within_0p30,within_0p60,top_1pct_recall,false_positive_burden,calibration_error,ablation
EDR001,nonlinear_invariant,0.563347297863427,0.9584717607973422,3.21,False,False,False,0.3,0.010368180477584978,0.021537592002615593,pressure_only
EDR001,sparse_invariant,0.3169833087560597,0.7255813953488373,3.21,False,False,False,0.3,0.032430801597115776,0.006218405979394312,pressure_only
EDR003,nonlinear_invariant,0.16666666666666666,0.9603174603174602,5.1,False,False,False,0.0,0.03620840362139013,0.02244305070583271,pressure_only
EDR003,sparse_invariant,0.08849081811792317,0.8946031746031745,5.1,False,False,False,0.0,0.05485058723581049,0.04051873407474169,pressure_only
EDR007,nonlinear_invariant,0.5109992810927391,0.9324590163934425,0.6600000000000001,False,False,False,0.1,0.015215573563948346,0.025712333739555893,pressure_only
EDR007,sparse_invariant,0.7762536849000983,0.8557377049180328,0.02999999999999936,True,True,True,0.4,0.034520464735303034,0.03405519456919355,pressure_only
EDR011,nonlinear_invariant,0.14952796732457752,0.8991666666666666,5.85,False,False,False,0.0,0.031148852564764608,0.01630752453049146,pressure_only
EDR011,sparse_invariant,0.3593254817259952,0.8994444444444445,0.7800000000000002,False,False,False,0.3333333333333333,0.04270188104710589,0.03708320494371594,pressure_only
EDR013,nonlinear_invariant,0.3217391304347826,0.9613333333333334,3.5700000000000003,False,False,False,0.0,0.03046293202398157,0.03211027807479741,pressure_only
EDR013,sparse_invariant,0.07385347153043335,0.7446666666666667,3.6899999999999995,False,False,False,0.0,0.05548327939971589,0.023710091993562256,pressure_only
EDR014,nonlinear_invariant,0.16279069767441862,0.94,4.890000000000001,False,False,False,0.0,0.04078265310240935,0.023394235294015835,pressure_only
EDR014,sparse_invariant,0.7496598639455783,0.9947619047619047,0.2699999999999996,False,True,True,0.42857142857142855,0.045872128071938564,0.05011822433053701,pressure_only
EDR015,nonlinear_invariant,0.2768228503522621,0.9642857142857143,5.37,False,False,False,0.0,0.02232954735440704,0.016283706137219085,pressure_only
EDR015,sparse_invariant,0.6071003401360544,0.9714285714285714,0.05999999999999961,True,True,True,0.42857142857142855,0.035815839151695984,0.0266470633660293,pressure_only
EDR017,nonlinear_invariant,0.2541847041847042,0.8991666666666668,3.5100000000000002,False,False,False,0.5,0.022690142892466604,0.015436282692785448,pressure_only
EDR017,sparse_invariant,0.4167171717171717,0.9316666666666666,0.14999999999999947,True,True,True,0.3333333333333333,0.040401938678517955,0.03007460921854449,pressure_only
EDR018,nonlinear_invariant,0.288537174400552,0.79,0.8700000000000001,False,False,False,0.2,0.019167995610306188,0.011018542154715674,pressure_only
EDR018,sparse_invariant,0.421155379604672,0.8673333333333334,2.67,False,False,False,0.3,0.03377562487227304,0.01257619536462425,pressure_only
EDR019,nonlinear_invariant,0.2551899115377376,0.854983388704319,4.92,False,False,False,0.0,0.038262114120567604,0.021117515813857353,pressure_only
EDR019,sparse_invariant,0.045194820534949345,0.63421926910299,2.219999999999999,False,False,False,0.0,0.10192297216019346,0.06868647873010209,pressure_only
