noise_fraction,trial,method,auprc,improvement_survives
0.005,9,baseline:pressure_anisotropy_abs,0.15526839631969666,False
0.005,9,nonlinear_invariant,0.5790942861722967,False
0.005,9,sparse_invariant,0.6183082128712636,False
0.005,10,baseline:D_e_abs,0.38803996905385274,False
0.005,10,baseline:D_e_normalized,0.055174371314353356,False
0.005,10,baseline:D_e_positive,0.3156898719592099,False
0.005,10,baseline:E_parallel_abs,0.23336786036728083,False
0.005,10,baseline:E_prime_magnitude,0.21799840721831262,False
0.005,10,baseline:J_magnitude,0.7200918748573636,False
0.005,10,baseline:Q,0.3881137116326749,False
0.005,10,baseline:pressure_anisotropy_abs,0.15444639221138082,False
0.005,10,nonlinear_invariant,0.5796581278811546,False
0.005,10,sparse_invariant,0.624657914764719,False
0.005,11,baseline:D_e_abs,0.38951013482724894,False
0.005,11,baseline:D_e_normalized,0.05578550373674204,False
0.005,11,baseline:D_e_positive,0.3182718647821061,False
0.005,11,baseline:E_parallel_abs,0.23390027304812852,False
0.005,11,baseline:E_prime_magnitude,0.21849883151135494,False
0.005,11,baseline:J_magnitude,0.7222391836176142,False
0.005,11,baseline:Q,0.39313919998694796,False
0.005,11,baseline:pressure_anisotropy_abs,0.15440304836976843,False
0.005,11,nonlinear_invariant,0.5814781623367338,False
0.005,11,sparse_invariant,0.6091258243243959,False
0.005,12,baseline:D_e_abs,0.3831443634240805,False
0.005,12,baseline:D_e_normalized,0.053155434966236786,False
0.005,12,baseline:D_e_positive,0.3159898282623279,False
0.005,12,baseline:E_parallel_abs,0.23292360134172205,False
0.005,12,baseline:E_prime_magnitude,0.22172640318064918,False
0.005,12,baseline:J_magnitude,0.7212441543889673,False
0.005,12,baseline:Q,0.39626519731640203,False
0.005,12,baseline:pressure_anisotropy_abs,0.15492794261599793,False
0.005,12,nonlinear_invariant,0.5815137307039863,False
0.005,12,sparse_invariant,0.6206291479017344,False
0.005,13,baseline:D_e_abs,0.386284631832898,False
0.005,13,baseline:D_e_normalized,0.05542844958355334,False
0.005,13,baseline:D_e_positive,0.31618665328352413,False
0.005,13,baseline:E_parallel_abs,0.23315195536519528,False
0.005,13,baseline:E_prime_magnitude,0.22126911890394665,False
0.005,13,baseline:J_magnitude,0.7219523971689029,False
0.005,13,baseline:Q,0.3956699871897207,False
0.005,13,baseline:pressure_anisotropy_abs,0.15477006997348594,False
0.005,13,nonlinear_invariant,0.58576315988892,False
0.005,13,sparse_invariant,0.614133973139935,False
0.005,14,baseline:D_e_abs,0.3836737502871405,False
0.005,14,baseline:D_e_normalized,0.05536461586758987,False
0.005,14,baseline:D_e_positive,0.314131642899563,False
0.005,14,baseline:E_parallel_abs,0.23492020104703346,False
0.005,14,baseline:E_prime_magnitude,0.2205585970522251,False
0.005,14,baseline:J_magnitude,0.7216713776231213,False
0.005,14,baseline:Q,0.39413387512035597,False
0.005,14,baseline:pressure_anisotropy_abs,0.1563267003703111,False
0.005,14,nonlinear_invariant,0.5965005883771488,False
0.005,14,sparse_invariant,0.6213859733607142,False
0.005,15,baseline:D_e_abs,0.3844198757855475,False
0.005,15,baseline:D_e_normalized,0.05560642119240624,False
0.005,15,baseline:D_e_positive,0.3147220102650486,False
0.005,15,baseline:E_parallel_abs,0.23136932963528076,False
0.005,15,baseline:E_prime_magnitude,0.22096054130514162,False
0.005,15,baseline:J_magnitude,0.7210957979230024,False
0.005,15,baseline:Q,0.3973746137512695,False
0.005,15,baseline:pressure_anisotropy_abs,0.15602066539643786,False
0.005,15,nonlinear_invariant,0.5751740744774071,False
0.005,15,sparse_invariant,0.6222076421614079,False
0.005,16,baseline:D_e_abs,0.3876409798847436,False
0.005,16,baseline:D_e_normalized,0.05472944951630556,False
0.005,16,baseline:D_e_positive,0.31828221868587353,False
0.005,16,baseline:E_parallel_abs,0.23540442564686215,False
0.005,16,baseline:E_prime_magnitude,0.220323275036693,False
0.005,16,baseline:J_magnitude,0.7211488605093458,False
0.005,16,baseline:Q,0.39579537569404505,False
0.005,16,baseline:pressure_anisotropy_abs,0.15622657829626918,False
0.005,16,nonlinear_invariant,0.5828819252081238,False
0.005,16,sparse_invariant,0.6234554791598247,False
0.005,17,baseline:D_e_abs,0.386545123760514,False
0.005,17,baseline:D_e_normalized,0.054915387103025994,False
0.005,17,baseline:D_e_positive,0.3158522832477705,False
0.005,17,baseline:E_parallel_abs,0.23352981644197227,False
0.005,17,baseline:E_prime_magnitude,0.22178811005042107,False
0.005,17,baseline:J_magnitude,0.7198111203218551,False
0.005,17,baseline:Q,0.3883097780727274,False
0.005,17,baseline:pressure_anisotropy_abs,0.1558106024393228,False
0.005,17,nonlinear_invariant,0.5764246454930586,False
0.005,17,sparse_invariant,0.6178896192305828,False
0.005,18,baseline:D_e_abs,0.3875915857138284,False
0.005,18,baseline:D_e_normalized,0.055711364950048525,False
0.005,18,baseline:D_e_positive,0.3169821188997411,False
0.005,18,baseline:E_parallel_abs,0.23225876180596752,False
0.005,18,baseline:E_prime_magnitude,0.2202608184379249,False
0.005,18,baseline:J_magnitude,0.7207293373022862,False
0.005,18,baseline:Q,0.3965187698519279,False
0.005,18,baseline:pressure_anisotropy_abs,0.15416605901596872,False
0.005,18,nonlinear_invariant,0.5870290544167187,False
0.005,18,sparse_invariant,0.6215674466957102,False
0.005,19,baseline:D_e_abs,0.3873701017968538,False
0.005,19,baseline:D_e_normalized,0.05575975636437074,False
0.005,19,baseline:D_e_positive,0.31687775590910827,False
0.005,19,baseline:E_parallel_abs,0.23143479181907592,False
0.005,19,baseline:E_prime_magnitude,0.22117570171539158,False
0.005,19,baseline:J_magnitude,0.7216730722151786,False
0.005,19,baseline:Q,0.3952765750634171,False
0.005,19,baseline:pressure_anisotropy_abs,0.155078712112699,False
0.005,19,nonlinear_invariant,0.5852631649919272,False
0.005,19,sparse_invariant,0.6219794552392748,False
0.005,20,baseline:D_e_abs,0.38397036276473356,False
0.005,20,baseline:D_e_normalized,0.05563242027007575,False
0.005,20,baseline:D_e_positive,0.3139474668338534,False
0.005,20,baseline:E_parallel_abs,0.23120196599882495,False
0.005,20,baseline:E_prime_magnitude,0.22077992506534272,False
0.005,20,baseline:J_magnitude,0.7203605583574412,False
0.005,20,baseline:Q,0.3942649352899584,False
0.005,20,baseline:pressure_anisotropy_abs,0.15576290011035465,False
0.005,20,nonlinear_invariant,0.5795857674193656,False
0.005,20,sparse_invariant,0.6196792355197563,False
0.005,21,baseline:D_e_abs,0.3879633490441581,False
0.005,21,baseline:D_e_normalized,0.05542355300826247,False
0.005,21,baseline:D_e_positive,0.31740093331541064,False
0.005,21,baseline:E_parallel_abs,0.236319276584374,False
0.005,21,baseline:E_prime_magnitude,0.2173274584071625,False
0.005,21,baseline:J_magnitude,0.7207109903911987,False
0.005,21,baseline:Q,0.389168858798528,False
0.005,21,baseline:pressure_anisotropy_abs,0.15467196270364236,False
0.005,21,nonlinear_invariant,0.5823159197252789,False
0.005,21,sparse_invariant,0.6184885626513558,False
0.005,22,baseline:D_e_abs,0.38825137126011283,False
0.005,22,baseline:D_e_normalized,0.055265877648994995,False
0.005,22,baseline:D_e_positive,0.3181211208945148,False
0.005,22,baseline:E_parallel_abs,0.23407379755003466,False
0.005,22,baseline:E_prime_magnitude,0.22099852918154061,False
0.005,22,baseline:J_magnitude,0.7215869037496313,False
0.005,22,baseline:Q,0.3919191118635797,False
0.005,22,baseline:pressure_anisotropy_abs,0.1556377495133355,False
0.005,22,nonlinear_invariant,0.5777647941771893,False
0.005,22,sparse_invariant,0.6239676639601229,False
0.005,23,baseline:D_e_abs,0.38337644348004946,False
0.005,23,baseline:D_e_normalized,0.05570142286641097,False
0.005,23,baseline:D_e_positive,0.3151026643143012,False
0.005,23,baseline:E_parallel_abs,0.23240375625016294,False
0.005,23,baseline:E_prime_magnitude,0.21996701896622642,False
0.005,23,baseline:J_magnitude,0.7206765496706393,False
0.005,23,baseline:Q,0.3895086704399943,False
0.005,23,baseline:pressure_anisotropy_abs,0.15447874502913264,False
0.005,23,nonlinear_invariant,0.58437997996075,False
0.005,23,sparse_invariant,0.6064989499613748,False
0.005,24,baseline:D_e_abs,0.3854999703513911,False
0.005,24,baseline:D_e_normalized,0.055664427102276426,False
0.005,24,baseline:D_e_positive,0.3171037668632508,False
0.005,24,baseline:E_parallel_abs,0.23074404804042822,False
0.005,24,baseline:E_prime_magnitude,0.22102416672305655,False
0.005,24,baseline:J_magnitude,0.7213954658771035,False
0.005,24,baseline:Q,0.3855994328685746,False
0.005,24,baseline:pressure_anisotropy_abs,0.15436456273677274,False
0.005,24,nonlinear_invariant,0.5767993482695078,False
0.005,24,sparse_invariant,0.6182715560668501,False
0.005,25,baseline:D_e_abs,0.386713108049156,False
0.005,25,baseline:D_e_normalized,0.05535500445060542,False
0.005,25,baseline:D_e_positive,0.3173684664281457,False
0.005,25,baseline:E_parallel_abs,0.23326371127852105,False
0.005,25,baseline:E_prime_magnitude,0.22066133025432175,False
0.005,25,baseline:J_magnitude,0.7209456568115445,False
0.005,25,baseline:Q,0.3961940385042872,False
0.005,25,baseline:pressure_anisotropy_abs,0.15485888017745908,False
0.005,25,nonlinear_invariant,0.587520340665866,False
0.005,25,sparse_invariant,0.6191260016318058,False
0.005,26,baseline:D_e_abs,0.38470791975808205,False
0.005,26,baseline:D_e_normalized,0.05553357471980062,False
0.005,26,baseline:D_e_positive,0.3147059409701563,False
0.005,26,baseline:E_parallel_abs,0.23354124499833473,False
0.005,26,baseline:E_prime_magnitude,0.22043685977358252,False
0.005,26,baseline:J_magnitude,0.7206179526625882,False
0.005,26,baseline:Q,0.39304005360043615,False
0.005,26,baseline:pressure_anisotropy_abs,0.15403136174889537,False
0.005,26,nonlinear_invariant,0.5864020389191552,False
0.005,26,sparse_invariant,0.6198664241199298,False
0.005,27,baseline:D_e_abs,0.3875374957604257,False
0.005,27,baseline:D_e_normalized,0.05502811223519155,False
0.005,27,baseline:D_e_positive,0.3181182554359131,False
0.005,27,baseline:E_parallel_abs,0.2364869340680682,False
0.005,27,baseline:E_prime_magnitude,0.22133757697015188,False
0.005,27,baseline:J_magnitude,0.7220894295776592,False
0.005,27,baseline:Q,0.3884233228997225,False
0.005,27,baseline:pressure_anisotropy_abs,0.15631449623619983,False
0.005,27,nonlinear_invariant,0.5846659582372501,False
0.005,27,sparse_invariant,0.6071274254874354,False
0.005,28,baseline:D_e_abs,0.38731717801215937,False
0.005,28,baseline:D_e_normalized,0.056064311704404485,False
0.005,28,baseline:D_e_positive,0.3167906528906382,False
0.005,28,baseline:E_parallel_abs,0.23577865954692198,False
0.005,28,baseline:E_prime_magnitude,0.22090656144499585,False
0.005,28,baseline:J_magnitude,0.7205880008916545,False
0.005,28,baseline:Q,0.39327381896043495,False
0.005,28,baseline:pressure_anisotropy_abs,0.1543340714255233,False
