_Y_ut,_localtime,_sol,sun_centered_longitude_deg,_elat,_vg,_q,_e,_incl,_peri,_node,orbit_d_to_gmn,template_score,_source_zip,_source_member
2014.0,_20140429_213504,39.288082,-149.431713,7.340482,37.77375,0.078842,0.945308,24.621737,333.736786,39.288521,0.027365439317099897,0.09306955794448776,U2_2014_EDM.zip,U2_2014_EDM.csv
2016.0,_20160425_025942,35.119793,-149.24371000000002,6.632064,40.151093,0.061603,0.964256,26.763119,335.829803,35.119762,0.048968292808489355,6.059696015004888,U2_2016_EDM.zip,U2_2016_EDM.csv
2016.0,_20160428_020032,37.876171,-149.640148,6.111973,36.524609,0.08314,0.93739,19.117397,333.652893,37.876141,0.10637518769405774,4.593980645064024,U2_2016_EDM.zip,U2_2016_EDM.csv
2017.0,_20170425_235432,35.717541,-149.38674600000002,6.979021,39.005722,0.070241,0.955418,25.592995,334.661713,35.718208,0.030427317653788675,1.7689016318036095,U2_2017_EDM.zip,U2_2017_EDM.csv
2017.0,_20170426_024406,35.832203,-149.04958,7.277458,38.655663,0.071171,0.952665,26.340977,334.785461,35.832851,0.03564534280799281,0.863640703841383,U2_2017_EDM.zip,U2_2017_EDM.csv
2022.0,_20220428_215139,38.283501,-150.423653,7.602987,37.230995,0.0906,0.937964,23.420803,331.669861,38.284245,0.03720965702248888,1.882929727662746,U2_2022_EDM.zip,U2_2022_EDM.csv
