event_id,date,time,spacecraft,reference_paper,timestamp,literature_label,is_guide_field_study,is_canonical
EDR049,2016-11-18,12:08:11.000,MMS2,Webster_et_al._[2018],2016-11-18 12:08:11+00:00,,False,False
EDR050,2016-11-23,07:49:33.000,MMS2,Webster_et_al._[2018],2016-11-23 07:49:33+00:00,,False,False
EDR051,2016-11-23,07:49:52.000,MMS4,Webster_et_al._[2018],2016-11-23 07:49:52+00:00,,False,False
EDR052,2016-11-23,07:50:30.000,MMS1,Webster_et_al._[2018],2016-11-23 07:50:30+00:00,,False,False
EDR053,2016-11-27,06:45:40.800,MMS1,Lenouvel_(unpublished),2016-11-27 06:45:40.800000+00:00,,False,False
EDR054,2016-11-28,07:36:55.450,MMS1,Genestreti_et_al._[2018],2016-11-28 07:36:55.450000+00:00,,False,False
EDR055,2016-11-28,15:46:59.830,MMS2,Webster_et_al._[2018],2016-11-28 15:46:59.830000+00:00,,False,False
EDR056,2016-11-30,13:05:18.030,MMS2,Lenouvel_(unpublished),2016-11-30 13:05:18.030000+00:00,,False,False
EDR057,2016-12-11,04:41:50.000,MMS4,Webster_et_al._[2018],2016-12-11 04:41:50+00:00,,False,False
EDR058,2016-12-19,14:15:01.000,MMS2,Webster_et_al._[2018],2016-12-19 14:15:01+00:00,,False,False
EDR059,2016-12-23,02:53:10.310,MMS1,Lenouvel_(unpublished),2016-12-23 02:53:10.310000+00:00,,False,False
EDR060,2016-12-24,15:03:32.000,MMS1,Li_et_al._[2020],2016-12-24 15:03:32+00:00,,False,False
EDR061,2016-12-26,11:20:29.000,MMS2,Lenouvel_(unpublished),2016-12-26 11:20:29+00:00,,False,False
EDR062,2016-12-29,11:56:11.820,MMS2,Lenouvel_(unpublished),2016-12-29 11:56:11.820000+00:00,,False,False
EDR063,2017-01-02,02:58:13.350,MMS2,Webster_et_al._[2018],2017-01-02 02:58:13.350000+00:00,,False,False
EDR064,2017-01-07,08:09:55.230,MMS1,Lenouvel_(unpublished),2017-01-07 08:09:55.230000+00:00,,False,False
EDR065,2017-01-09,02:27:31.975,MMS2,Lenouvel_(unpublished),2017-01-09 02:27:31.975000+00:00,,False,False
EDR066,2017-01-11,04:22:43.130,MMS4,Webster_et_al._[2018],2017-01-11 04:22:43.130000+00:00,,False,False
EDR067,2017-01-20,12:32:07.000,MMS2,Webster_et_al._[2018],2017-01-20 12:32:07+00:00,,False,False
EDR068,2017-01-22,10:15:46.000,MMS2,Webster_et_al._[2018],2017-01-22 10:15:46+00:00,,False,False
EDR069,2017-01-22,10:15:58.000,MMS2,Webster_et_al._[2018],2017-01-22 10:15:58+00:00,,False,False
EDR070,2017-01-22,10:47:33.000,MMS2,Webster_et_al._[2018],2017-01-22 10:47:33+00:00,,False,False
EDR071,2017-01-27,00:57:07.000,MMS1,Lenouvel_(unpublished),2017-01-27 00:57:07+00:00,,False,False
EDR072,2017-01-27,12:05:43.150,MMS1,Cozzani_et_al._[2019],2017-01-27 12:05:43.150000+00:00,,False,False
