year,unique_trajectory_identifier,beginning_utc_time,night_date,sol_lon_deg,ra_deg,dec_deg,vgeo_km_s,lamgeo_deg,sc_lon_deg,betgeo_deg,e,q_au,i_deg,peri_deg,node_deg
2024,20240428132311_4Rw3t,2024-04-28 13:23:11.025151,2024-04-28,38.408545,248.1397338451048,-14.382894867459314,40.12267,248.66954,210.260995,7.45229,0.961755,0.068547,28.646442,334.269204,38.414228
2024,20240428132723_YoJCh,2024-04-28 13:27:23.732129,2024-04-28,38.411387,247.67984584588768,-14.760102481421997,37.59801,248.28334,209.87195300000002,7.01228,0.943397,0.083294,22.667321,332.811834,38.419003
2024,20240429005404_1ywsu,2024-04-29 00:54:04.258484,2024-04-29,38.87473,247.83422659162653,-14.524965616927943,37.85142,248.39617,209.52144,7.26736,0.944263,0.085445,23.382702,332.156559,38.885586
2024,20240429005752_ggjMN,2024-04-29 00:57:52.405668,2024-04-29,38.877295,248.33361373924427,-15.040897533615256,38.17536,248.955,210.077705,6.82947,0.948968,0.077593,23.225692,333.565191,38.887905
2024,20240429085626_mNMgb,2024-04-29 08:56:26.532962,2024-04-29,39.200156,249.9065504560462,-14.344524285246916,35.26074,250.3728,211.17264400000002,7.73614,0.923418,0.091709,22.448489,333.273934,39.212314
2024,20240429152411_ReB2Q,2024-04-29 15:24:11.144332,2024-04-29,39.461709,248.14410078781822,-14.463257736566705,38.13281,248.68586,209.224151,7.37346,0.945909,0.08644,23.781006,331.709541,39.467888
2024,20240430044813_8cTT0,2024-04-30 04:48:13.624163,2024-04-30,40.003979,249.8562727964595,-14.498809358301612,35.91741,250.34563,210.341651,7.57661,0.928006,0.092771,22.239745,332.395305,40.012189
2025,20250424014938_M20Bz,2025-04-24 01:49:38.278059,2025-04-24,33.79407,242.86247402678978,-13.18744110090854,39.55997,243.37025,209.57618,7.7783,0.955917,0.078233,27.511945,332.483706,33.802132
2025,20250424113355_orZBq,2025-04-24 11:33:55.038422,2025-04-24,34.189492,244.87662253651087,-13.841581537553209,38.2332,245.43165,211.242158,7.4806,0.949345,0.072481,26.549929,334.867234,34.196226
2025,20250424205212_hkMYq,2025-04-24 20:52:12.815328,2025-04-24,34.567261,243.79332880113972,-12.869241535501208,37.80698,244.21314,209.645879,8.25481,0.940874,0.08985,26.029842,331.464788,34.575917
2025,20250425061734_4DlAc,2025-04-25 06:17:34.281467,2025-04-25,34.949737,246.33239354478968,-14.816758441507318,36.37856,246.99617,212.046433,6.75242,0.938579,0.074962,22.259998,335.709493,34.95791
2025,20250425063625_FffqS,2025-04-25 06:36:25.323411,2025-04-25,34.96249,245.68820992967866,-13.79769280795962,37.63267,246.20797,211.24548,7.6561,0.944243,0.076598,26.017021,334.450663,34.969191
2025,20250425092149_UkyHc,2025-04-25 09:21:49.672478,2025-04-25,35.074376,244.50792388259117,-13.386864898337729,39.56823,244.99671,209.922334,7.86709,0.956196,0.076141,28.280711,332.988185,35.082517
2025,20250425094115_SdkSh,2025-04-25 09:41:15.935675,2025-04-25,35.087524,247.34368902296495,-13.79505325365121,36.62078,247.80932,212.721796,7.91591,0.93879,0.073881,26.737782,335.990369,35.09652
2025,20250425135239_dV5qL,2025-04-25 13:52:39.782124,2025-04-25,35.257565,246.5251106651789,-13.52797143878501,36.12586,246.97368,211.716115,8.05449,0.931409,0.084121,25.088404,334.184009,35.263744
2025,20250425150758_nITBy,2025-04-25 15:07:58.556648,2025-04-25,35.308503,246.47647301840874,-12.824812547522914,39.2947,246.81247,211.503967,8.74096,0.953653,0.071506,32.648863,334.548935,35.313702
2025,20250426152659_6Gcpz,2025-04-26 15:26:59.040343,2025-04-26,36.29505,245.7077342444682,-15.142620388130766,37.62138,246.45025,210.1552,6.33271,0.945564,0.078801,20.972475,333.687584,36.301402
2025,20250426232357_GNe2H,2025-04-26 23:23:57.251683,2025-04-26,36.617458,247.07489153503903,-13.405414489048288,37.09791,247.4874,210.869942,8.26014,0.937301,0.085041,26.327681,333.148277,36.625713
2025,20250427101726_SpGVY,2025-04-27 10:17:26.794108,2025-04-27,37.059102,247.09905728501127,-13.387249605359008,37.43939,247.50799,210.448888,8.28176,0.93932,0.086115,26.471852,332.610027,37.067345
2025,20250427111229_2riz9,2025-04-27 11:12:29.026367,2025-04-27,37.096292,247.33801669295758,-14.931016887449388,38.13158,247.98083,210.884538,6.79274,0.950021,0.072412,23.915558,334.806302,37.106945
2025,20250427143535_kHfIE,2025-04-27 14:35:35.114966,2025-04-27,37.233529,247.21265651094046,-14.40121051669054,37.31953,247.77745,210.54392099999998,7.29738,0.94146,0.081645,23.716162,333.489939,37.23963
2025,20250427163849_iIo6c,2025-04-27 16:38:49.572867,2025-04-27,37.316799,246.8936269686508,-13.754926267903715,36.63561,247.3671,210.050301,7.88729,0.932716,0.092072,23.741852,331.951227,37.323021
2025,20250428020357_dwsno,2025-04-28 02:03:57.517293,2025-04-28,37.698592,247.67914360443314,-14.317618303975156,38.33222,248.21474,210.51614800000002,7.4495,0.949177,0.076587,25.755898,333.799151,37.708038
2025,20250428021707_CJzTI,2025-04-28 02:17:07.207075,2025-04-28,37.707483,247.42965283798935,-15.540708088545411,35.3517,248.16323,210.455747,6.20393,0.926364,0.090963,17.954859,333.061313,37.721563
2025,20250428022950_dNshR,2025-04-28 02:29:50.705046,2025-04-28,37.716079,247.09171633377468,-14.736497754490898,39.0362,247.71352,209.99744099999998,6.94796,0.954968,0.074077,24.781834,333.69481,37.726199
2025,20250428034614_PK2wc,2025-04-28 03:46:14.110521,2025-04-28,37.76768,248.2919638103903,-14.511481778098847,38.93427,248.83584,211.06815999999998,7.34708,0.954867,0.069078,27.244506,335.060256,37.770696
2025,20250428060958_F0cK2,2025-04-28 06:09:58.193094,2025-04-28,37.864768,248.06659971226924,-14.342601425189816,38.60749,248.59281,210.728042,7.48153,0.951555,0.073733,26.596796,334.242981,37.873164
2025,20250428063243_XL5xF,2025-04-28 06:32:43.528436,2025-04-28,37.880139,247.56634097766968,-14.310714668540546,38.30469,248.10474,210.224601,7.43963,0.948516,0.078737,25.32748,333.323063,37.889123
2025,20250428074446_zrXLC,2025-04-28 07:44:46.859322,2025-04-28,37.928809,247.76431829565854,-14.428191035463213,37.95809,248.31393,210.385121,7.35276,0.946296,0.079202,24.709376,333.493819,37.937477
2025,20250428165803_A6kVU,2025-04-28 16:58:03.660431,2025-04-28,38.302471,247.20917823736815,-14.953068528317793,38.99637,247.86042,209.557949,6.75169,0.954592,0.076556,23.608215,333.104884,38.306647
2025,20250428193144_cKN3Y,2025-04-28 19:31:44.672335,2025-04-28,38.406249,248.59232286935236,-14.938168745212913,35.65278,249.18877,210.782521,6.96784,0.928233,0.089164,20.635153,333.288125,38.418898
2025,20250428203753_lOpUS,2025-04-28 20:37:53.602769,2025-04-28,38.450916,248.44660135681042,-14.392930769926128,39.01224,248.96751,210.516594,7.48647,0.954249,0.072955,27.059752,334.095587,38.453876
2025,20250429001847_zeGx1,2025-04-29 00:18:47.527942,2025-04-29,38.600068,247.51496350537428,-15.037404407980441,39.00217,248.16738,209.56731200000002,6.7139,0.954759,0.076294,23.510748,333.148634,38.610955
2025,20250429044016_joqKV,2025-04-29 04:40:16.566963,2025-04-29,38.776609,249.2124577370351,-15.052640414922301,37.43023,249.80255,211.025941,6.94097,0.944592,0.076012,23.426706,334.583115,38.782737
2025,20250429051626_jzOa5,2025-04-29 05:16:26.641051,2025-04-29,38.801026,248.65098449465333,-14.464849074801622,37.31712,249.17562,210.374594,7.44437,0.940846,0.083404,23.961887,333.122315,38.805354
2025,20250429061607_ELNc5,2025-04-29 06:16:07.129093,2025-04-29,38.841312,248.3069664006655,-13.080266584251534,38.53481,248.63566,209.794348,8.76458,0.94603,0.087002,28.834243,331.55553,38.846884
2025,20250429071025_Ubm6T,2025-04-29 07:10:25.296535,2025-04-29,38.87797,247.9616384335618,-14.565527091581217,36.58472,248.52524,209.64727,7.24587,0.933421,0.092569,21.630488,331.748128,38.882274
2025,20250429205604_gpO44,2025-04-29 20:56:04.776613,2025-04-29,39.435264,249.46967316166786,-14.515873628462886,37.59731,249.97418,210.538916,7.50752,0.94341,0.080776,24.775355,333.473383,39.439058
2025,20250429214658_ayS3e,2025-04-29 21:46:58.908387,2025-04-29,39.469616,248.8788344067238,-14.804401024661558,38.2375,249.44524,209.975624,7.14044,0.948542,0.079461,24.093444,333.140586,39.476614
2025,20250429224526_DzIb1,2025-04-29 22:45:26.427644,2025-04-29,39.509065,249.23215742233845,-15.214920555615283,37.19999,249.84474,210.335675,6.78304,0.941657,0.081618,21.898801,333.481002,39.520191
2025,20250430173153_WJqAL,2025-04-30 17:31:53.707396,2025-04-30,40.269068,249.55213120060142,-14.770648146316933,37.80229,250.0899,209.820832,7.26647,0.944508,0.083634,23.628056,332.59552,40.2746
2026,20260423112020_GxTOg,2026-04-23 11:20:20.186998,2026-04-23,32.95845,241.8432151458141,-13.639919412309856,37.10128,242.47275,209.5143,7.14917,0.937626,0.090115,21.879654,331.789724,32.969759
2026,20260423142339_wsoeG,2026-04-23 14:23:39.982494,2026-04-23,33.082562,242.32542936265122,-14.293386323266592,39.90538,243.05919,209.976628,6.59508,0.961661,0.068129,25.013041,334.367551,33.09014
2026,20260423230853_2qTxc,2026-04-23 23:08:53.741154,2026-04-23,33.43808,244.12030658990585,-13.387539158714999,40.04975,244.622,211.18392,7.8008,0.961123,0.064974,30.911154,335.306465,33.444826
2026,20260424143443_ptiZ9,2026-04-24 14:34:43.631963,2026-04-24,34.064564,243.62711325350216,-14.097562402580806,39.46463,244.27296,210.20839600000002,7.01732,0.95802,0.070605,25.941976,334.194649,34.071687
2026,20260424145224_Vtxm5,2026-04-24 14:52:24.369118,2026-04-24,34.076524,245.28227140992055,-14.190440265585812,37.3715,245.88221,211.80568599999998,7.20327,0.944907,0.07227,24.940889,335.553117,34.081513
2026,20260424180050_q8DQq,2026-04-24 18:00:50.262451,2026-04-24,34.203999,244.74058754245567,-13.848407510429736,35.51842,245.30157,211.097571,7.45132,0.926185,0.089697,21.955486,333.401342,34.209012
2026,20260425113533_Atn2T,2026-04-25 11:35:33.777416,2026-04-25,34.917334,244.945607218595,-13.223943525041129,36.26493,245.39223,210.474896,8.10064,0.92959,0.092121,24.143179,332.323682,34.924544
2026,20260425154634_O1MYq,2026-04-25 15:46:34.953579,2026-04-25,35.087058,244.6096514981635,-15.294834176062048,37.39994,245.4254,210.338342,6.00457,0.944995,0.077499,19.876284,334.102669,35.093852
2026,20260425164649_nWPDm,2026-04-25 16:46:49.116152,2026-04-25,35.127783,244.2963988220842,-13.64081350734123,38.25752,244.83675,209.708967,7.58132,0.946865,0.083289,25.025001,332.353538,35.133419
2026,20260425201637_w7ZcL,2026-04-25 20:16:37.988807,2026-04-25,35.269628,246.2080296152143,-13.847890313922306,36.65437,246.71872,211.449092,7.68915,0.936773,0.080876,24.722716,334.321828,35.273209
2026,20260426105134_2zfJr,2026-04-26 10:51:34.584449,2026-04-26,35.861002,246.0223363477617,-13.611329881108963,36.69419,246.50026,210.63925799999998,7.89324,0.9346,0.087206,24.46236,332.936903,35.868946
2026,20260426123712_IQJc2,2026-04-26 12:37:12.173650,2026-04-26,35.93238,246.0585351074916,-14.43431826819048,35.81465,246.67045,210.73807,7.08697,0.929265,0.088728,21.128338,333.249811,35.939996
2026,20260426161234_5oUVf,2026-04-26 16:12:34.188292,2026-04-26,36.077907,247.3424992559286,-13.991326426266955,35.99329,247.83881,211.76090299999998,7.72182,0.931785,0.082879,24.078927,334.474783,36.083209
2026,20260427002038_2awRc,2026-04-27 00:20:38.393886,2026-04-27,36.407657,247.23806912480296,-14.910988467628751,38.67146,247.88162,211.473963,6.79759,0.95528,0.065297,25.618085,336.0554,36.416176
2026,20260427091445_S1TLS,2026-04-27 09:14:45.862425,2026-04-27,36.768446,245.67272865355272,-14.67152055705705,37.15313,246.3385,209.57005400000003,6.79179,0.939528,0.087526,21.098121,332.220146,36.780216
2026,20260427110209_aObez,2026-04-27 11:02:09.420112,2026-04-27,36.840979,247.74567830561807,-13.71172305920623,37.14076,248.18603,211.34505099999998,8.05816,0.939592,0.080239,26.458788,334.111802,36.851036
2026,20260427140245_Jbgsi,2026-04-27 14:02:45.137440,2026-04-27,36.962943,246.79571653681842,-14.661139792423874,37.96354,247.41674,210.453797,6.97745,0.947577,0.076835,23.734729,333.943637,36.968438
2026,20260427172836_yX2rI,2026-04-27 17:28:36.387284,2026-04-27,37.101956,247.6555760349438,-14.881819239606564,37.53124,248.27865,211.176694,6.88841,0.945918,0.073983,23.612971,334.946515,37.106456
2026,20260427172853_V3jRd,2026-04-27 17:28:53.250560,2026-04-27,37.102146,247.83916201477132,-14.8549322250924,37.20834,248.45121,211.349064,6.94191,0.943572,0.074937,23.444483,335.01155,37.106919
2026,20260427233017_ZB8Um,2026-04-27 23:30:17.311098,2026-04-27,37.346172,246.8893771274177,-14.732720984042555,38.18236,247.51823,210.172058,6.92104,0.948961,0.0773,23.590727,333.635309,37.356322
2026,20260427234146_xo1vL,2026-04-27 23:41:46.708968,2026-04-27,37.35393,247.44026620305002,-14.554071363387964,38.39145,248.02075,210.66682,7.18042,0.950783,0.073747,25.286643,334.338586,37.363391
2026,20260428010436_aoUBc,2026-04-28 01:04:36.087123,2026-04-28,37.409847,247.12563446087867,-13.992666775098593,38.31631,247.62925,210.219403,7.68781,0.948057,0.079566,26.07822,333.162866,37.419097
2026,20260428020516_p8Fz4,2026-04-28 02:05:16.809681,2026-04-28,37.450814,246.24870510991104,-13.718487414782281,38.80579,246.73693,209.286116,7.82324,0.950253,0.084232,26.106662,331.706676,37.460923
2026,20260428155051_Lzxyt,2026-04-28 15:50:51.167236,2026-04-28,38.008093,248.3265526988171,-14.506662320658455,38.73318,248.86851,210.86041699999998,7.35681,0.953235,0.071274,26.676508,334.681881,38.012074
2026,20260429073857_2MQ6I,2026-04-29 07:38:57.731946,2026-04-29,38.647866,248.0908374774653,-14.053650321244314,38.5194,248.57257,209.92470400000002,7.77074,0.949059,0.080831,26.30854,332.715331,38.657923
2026,20260429082223_258vb,2026-04-29 08:22:23.251871,2026-04-29,38.677163,251.08542789446267,-15.350585447341416,37.43861,251.64713,212.969967,6.89172,0.949675,0.062911,25.671462,337.61685,38.687831
2026,20260429152208_vzwjo,2026-04-29 15:22:08.059383,2026-04-29,38.960325,248.8622673535005,-14.901768982377106,37.47298,249.44345,210.48312500000003,7.04178,0.943681,0.079641,23.230951,333.731144,38.965919
2026,20260429171643_xGAc2,2026-04-29 17:16:43.185640,2026-04-29,39.037616,248.91554608186703,-13.78968147916418,39.37993,249.33281,210.29519399999998,8.14965,0.954985,0.075435,29.415672,333.346869,39.041384
2026,20260430124302_Q3Sy7,2026-04-30 12:43:02.433106,2026-04-30,39.82415,251.24864783250996,-14.524449383275387,34.83931,251.69696,211.87281,7.73132,0.921692,0.089357,22.468649,334.148022,39.831927
