unique_trajectory_identifier,beginning_utc_time,iau_code,sol_lon_deg,lamgeo_deg,betgeo_deg,vgeo_km_s,e,q_au,i_deg,peri_deg,node_deg,sigma_9,sigma_15,sigma_10,sigma_11,sigma_12,medianfiterr_arcsec,num_stat,participating_stations,label,event_id,canonical_target_member,timestamp_key,trajectory_ids,trajectory_count
20250429205604_CzV3z,2025-04-29 20:56:04.787154,,39.435264,249.95333,7.39908,37.64408,0.944058,0.080171,24.521856,333.546007,39.439128,0.0025,0.0016,1.0294,0.1922,0.0003,43.92,2,"['AU001E', 'AU003E']",SPORADIC,20250429205604_CzV3z,True,20250429205604,20250429205604_CzV3z;20250429205604_gpO44,2
20250429214658_ayS3e,2025-04-29 21:46:58.908387,,39.469616,249.44524,7.14044,38.2375,0.948542,0.079461,24.093444,333.140586,39.476614,0.0038,0.0053,0.1857,0.8616,0.0001,51.96,2,"['ES000D', 'ES000F']",SPORADIC,20250429214658_ayS3e,True,20250429214658,20250429214658_ayS3e,1
20250429224526_DzIb1,2025-04-29 22:45:26.427644,,39.509065,249.84474,6.78304,37.19999,0.941657,0.081618,21.898801,333.481002,39.520191,0.0016,0.0022,0.7985,0.3627,0.0004,30.39,2,"['RU0008', 'RU000M']",SPORADIC,20250429224526_DzIb1,True,20250429224526,20250429224526_DzIb1,1
20250430131258_jtDGE,2025-04-30 13:12:58.530626,,40.094408,248.54732,6.14934,38.24347,0.948618,0.086909,19.659533,331.265159,40.105602,0.0018,0.0012,1.4786,0.2178,0.0012,25.31,2,"['AU000X', 'AU003H']",SPORADIC,20250430131258_jtDGE,False,20250430131258,20250430131258_jtDGE,1
20250430173153_WJqAL,2025-04-30 17:31:53.707396,,40.269068,250.0899,7.26647,37.80229,0.944508,0.083634,23.628056,332.59552,40.2746,,,,,,27.51,2,"['AU000D', 'AU001W']",SPORADIC,20250430173153_WJqAL,True,20250430173153,20250430173153_WJqAL;20250430173153_i3o5H,2
20260423081317_HwJhZ,2026-04-23 08:13:17.028561,,32.831808,244.60375,7.47645,36.78708,0.93909,0.077222,24.656486,334.984663,32.84162,0.0006,0.0008,0.5518,0.1443,0.0002,28.88,3,"['US0038', 'US003N', 'US003P']",SPORADIC,20260423081317_HwJhZ,False,20260423081317,20260423081317_HwJhZ,1
20260423090428_FqLEh,2026-04-23 09:04:28.880014,,32.866471,242.59423,7.02957,38.21529,0.947758,0.081184,23.372729,332.764164,32.869463,0.0013,0.0093,2.5886,2.0121,0.0011,27.22,2,"['CL0002', 'CL0003']",SPORADIC,20260423090428_FqLEh,False,20260423090428,20260423090428_FqLEh,1
20260423093825_J1t2A,2026-04-23 09:38:25.257945,,32.88945,242.55043,7.14922,36.18102,0.929456,0.094979,20.777425,331.607186,32.899465,0.001,0.0042,0.629,0.8969,0.0003,77.14,9,"['NZ0017', 'NZ001H', 'NZ001P', 'NZ001R', 'NZ0024', 'NZ002H', 'NZ003H', 'NZ005A', 'NZ005E']",SPORADIC,20260423093825_J1t2A,False,20260423093825,20260423093825_J1t2A,1
20260423112020_GxTOg,2026-04-23 11:20:20.186998,,32.95845,242.47275,7.14917,37.10128,0.937626,0.090115,21.879654,331.789724,32.969759,0.0015,0.0021,0.8191,0.5145,0.0004,58.97,3,"['US005D', 'US005Z', 'USL00F']",SPORADIC,20260423112020_GxTOg,True,20260423112020,20260423112020_GxTOg,1
20260423142339_wsoeG,2026-04-23 14:23:39.982494,,33.082562,243.05919,6.59508,39.90538,0.961661,0.068129,25.013041,334.367551,33.09014,0.0044,0.0053,2.1675,0.8417,0.0006,30.8,2,"['AU001E', 'AU0029']",SPORADIC,20260423142339_wsoeG,True,20260423142339,20260423142339_wsoeG,1
20260423230853_2qTxc,2026-04-23 23:08:53.741154,,33.43808,244.622,7.8008,40.04975,0.961123,0.064974,30.911154,335.306465,33.444826,0.0042,0.0089,2.5661,2.1691,0.0009,56.89,2,"['IL0002', 'IL000A']",SPORADIC,20260423230853_2qTxc,True,20260423230853,20260423230853_2qTxc,1
20260424040653_LVu2H,2026-04-24 04:06:53.597421,,33.639754,244.3013,5.7368,38.1369,0.952017,0.069964,20.360919,335.188552,33.644477,0.0016,0.0026,0.5917,0.5012,0.0002,47.41,2,"['ZA0002', 'ZA000C']",SPORADIC,20260424040653_LVu2H,False,20260424040653,20260424040653_LVu2H,1
20260424073930_kI1bi,2026-04-24 07:39:30.862886,,33.783632,243.88021,5.73388,37.31393,0.944201,0.079016,18.709793,333.795831,33.79439,0.0018,0.0014,0.4595,0.2533,0.0003,55.81,2,"['US005E', 'USL00E']",SPORADIC,20260424073930_kI1bi,False,20260424073930,20260424073930_kI1bi,1
20260424143443_ptiZ9,2026-04-24 14:34:43.631963,,34.064564,244.27296,7.01732,39.46463,0.95802,0.070605,25.941976,334.194649,34.071687,0.0008,0.0086,0.7326,2.0143,0.0002,26.82,2,"['AU000A', 'AU001A']",SPORADIC,20260424143443_ptiZ9,True,20260424143443,20260424143443_ptiZ9,1
20260424145224_Vtxm5,2026-04-24 14:52:24.369118,,34.076524,245.88221,7.20327,37.3715,0.944907,0.07227,24.940889,335.553117,34.081513,0.0098,0.0162,1.6206,2.734,0.0006,48.14,2,"['NZ001X', 'NZ0061']",SPORADIC,20260424145224_Vtxm5,True,20260424145224,20260424145224_Vtxm5,1
20260424154005_VBDZx,2026-04-24 15:40:05.794354,,34.108788,244.83399,5.40679,38.21142,0.953456,0.06795,19.470356,335.550382,34.117263,0.0008,0.0009,0.3792,0.1591,0.0002,36.15,2,"['AU001A', 'AU001X']",SPORADIC,20260424154005_VBDZx,False,20260424154005,20260424154005_VBDZx,1
20260424180050_q8DQq,2026-04-24 18:00:50.262451,,34.203999,245.30157,7.45132,35.51842,0.926185,0.089697,21.955486,333.401342,34.209012,0.0006,0.0009,0.2191,0.179,0.0001,31.72,6,"['NZ0004', 'NZ001Q', 'NZ003B', 'NZ003C', 'NZ004H', 'NZ005G']",SPORADIC,20260424180050_q8DQq,True,20260424180050,20260424180050_q8DQq,1
20260424223030_nBaPm,2026-04-24 22:30:30.361292,,34.386412,244.68867,6.89818,41.19776,0.969626,0.060726,28.861258,335.316346,34.392643,0.0004,0.0007,0.4427,0.1318,0.0001,34.76,9,"['BE000K', 'BE000L', 'BE000M', 'BE000Q', 'BE0017', 'FR000Y', 'NL000K', 'NL000N', 'NL000Z']",SPORADIC,20260424223030_nBaPm,False,20260424223030,20260424223030_nBaPm,1
20260425113533_Atn2T,2026-04-25 11:35:33.777416,,34.917334,245.39223,8.10064,36.26493,0.92959,0.092121,24.143179,332.323682,34.924544,0.0057,0.0078,0.9347,1.3021,0.0003,53.74,5,"['NZ0014', 'NZ003K', 'NZ004N', 'NZ005B', 'NZ005R']",SPORADIC,20260425113533_Atn2T,True,20260425113533,20260425113533_Atn2T,1
20260425154634_O1MYq,2026-04-25 15:46:34.953579,,35.087058,245.4254,6.00457,37.39994,0.944995,0.077499,19.876284,334.102669,35.093852,0.001,0.0015,0.6183,0.3108,0.0003,68.46,6,"['NZ000H', 'NZ0010', 'NZ0021', 'NZ002F', 'NZ003V', 'NZ003Z']",SPORADIC,20260425154634_O1MYq,True,20260425154634,20260425154634_O1MYq,1
20260425164649_nWPDm,2026-04-25 16:46:49.116152,,35.127783,244.83675,7.58132,38.25752,0.946865,0.083289,25.025001,332.353538,35.133419,0.0029,0.0042,0.717,0.7385,0.0002,66.71,5,"['AU001C', 'AU001D', 'AU0029', 'AU002C', 'AU0030']",SPORADIC,20260425164649_nWPDm,True,20260425164649,20260425164649_nWPDm,1
20260425201637_iaCea,2026-04-25 20:16:37.010458,,35.269617,246.51963,7.95084,36.66765,0.935565,0.083334,25.229436,333.825471,35.273069,0.002,0.0032,0.4372,0.5952,0.0001,52.61,2,"['AU0002', 'AU0030']",SPORADIC,20260425201637_iaCea,True,20260425201637,20260425201637_iaCea;20260425201637_w7ZcL,2
20260426105134_2zfJr,2026-04-26 10:51:34.584449,,35.861002,246.50026,7.89324,36.69419,0.9346,0.087206,24.46236,332.936903,35.868946,0.0027,0.0026,1.6862,0.4609,0.0007,79.72,5,"['NZ001G', 'NZ001S', 'NZ002Q', 'NZ002Z', 'NZ004U']",SPORADIC,20260426105134_2zfJr,True,20260426105134,20260426105134_2zfJr,1
20260426123712_IQJc2,2026-04-26 12:37:12.173650,,35.93238,246.67045,7.08697,35.81465,0.929265,0.088728,21.128338,333.249811,35.939996,0.0012,0.0036,0.8564,0.934,0.0003,41.57,5,"['NZ002Q', 'NZ002V', 'NZ003Q', 'NZ004U', 'NZ006P']",SPORADIC,20260426123712_IQJc2,True,20260426123712,20260426123712_IQJc2,1
20260426161234_5oUVf,2026-04-26 16:12:34.188292,,36.077907,247.83881,7.72182,35.99329,0.931785,0.082879,24.078927,334.474783,36.083209,0.0103,0.0039,4.2023,2.1661,0.0008,89.07,4,"['AU000Q', 'AU000R', 'AU000S', 'AU004L']",SPORADIC,20260426161234_5oUVf,True,20260426161234,20260426161234_5oUVf,1
20260427002038_2awRc,2026-04-27 00:20:38.393886,,36.407657,247.88162,6.79759,38.67146,0.95528,0.065297,25.618085,336.0554,36.416176,0.0043,0.0059,0.4619,1.0297,0.0002,39.76,2,"['IE000N', 'UK007A']",SPORADIC,20260427002038_2awRc,True,20260427002038,20260427002038_2awRc,1
20260427005152_XcXA9,2026-04-27 00:51:52.828217,,36.428761,245.94509,7.20571,41.68654,0.971648,0.064908,29.562517,333.926916,36.437225,0.0004,0.0008,0.2453,0.1556,0.0001,80.0,4,"['RO000H', 'RO000R', 'RO000V', 'RO0010']",SPORADIC,20260427005152_XcXA9,False,20260427005152,20260427005152_XcXA9,1
20260427082812_S5Uw9,2026-04-27 08:28:12.075647,,36.736997,248.55147,8.81694,35.84283,0.926831,0.088389,26.710063,333.675864,36.745638,0.0009,0.0016,0.5917,0.3013,0.0002,82.17,12,"['US0001', 'US0003', 'US0004', 'US0006', 'US0007', 'US0008', 'US000C', 'US000H', 'US000J', 'US000L', 'US005W', 'US006L']",SPORADIC,20260427082812_S5Uw9,False,20260427082812,20260427082812_S5Uw9,1
20260427091445_S1TLS,2026-04-27 09:14:45.862425,,36.768446,246.3385,6.79179,37.15313,0.939528,0.087526,21.098121,332.220146,36.780216,0.0025,0.0028,1.0941,0.4178,0.0005,95.99,5,"['US000C', 'US000H', 'US000M', 'US000N', 'US0030']",SPORADIC,20260427091445_S1TLS,True,20260427091445,20260427091445_S1TLS,1
20260427110209_aObez,2026-04-27 11:02:09.420112,,36.840979,248.18603,8.05816,37.14076,0.939592,0.080239,26.458788,334.111802,36.851036,0.0003,0.0007,0.586,0.1578,0.0002,83.01,5,"['US000C', 'US000E', 'US000M', 'US000N', 'US006L']",SPORADIC,20260427110209_aObez,True,20260427110209,20260427110209_aObez;20260427110209_noz5v,2
20260427140245_Jbgsi,2026-04-27 14:02:45.137440,,36.962943,247.41674,6.97745,37.96354,0.947577,0.076835,23.734729,333.943637,36.968438,0.0011,0.0017,1.1785,0.3094,0.0003,55.2,6,"['NZ001G', 'NZ003E', 'NZ003N', 'NZ004J', 'NZ005A', 'NZ006L']",SPORADIC,20260427140245_Jbgsi,True,20260427140245,20260427140245_Jbgsi,1
20260427150313_EN3Yw,2026-04-27 15:03:13.673180,,37.003783,244.9885,6.58454,38.10389,0.945806,0.09312,20.275516,330.098371,37.0106,0.0025,0.0037,2.2116,0.6222,0.0009,66.45,4,"['NZ001Q', 'NZ0023', 'NZ002D', 'NZ003B']",SPORADIC,20260427150313_EN3Yw,False,20260427150313,20260427150313_EN3Yw,1
20260427172836_yX2rI,2026-04-27 17:28:36.387284,,37.101956,248.27865,6.88841,37.53124,0.945918,0.073983,23.612971,334.946515,37.106456,0.0007,0.0015,0.3817,0.307,0.0001,30.34,2,"['NZ001S', 'NZ005F']",SPORADIC,20260427172836_yX2rI,True,20260427172836,20260427172836_yX2rI,1
20260427172853_V3jRd,2026-04-27 17:28:53.250560,,37.102146,248.45121,6.94191,37.20834,0.943572,0.074937,23.444483,335.01155,37.106919,0.0005,0.0009,0.5674,0.1889,0.0002,43.93,7,"['NZ0017', 'NZ001J', 'NZ001S', 'NZ0024', 'NZ002J', 'NZ002L', 'NZ006M']",SPORADIC,20260427172853_V3jRd,True,20260427172853,20260427172853_V3jRd,1
20260427233017_ZB8Um,2026-04-27 23:30:17.311098,,37.346172,247.51823,6.92104,38.18236,0.948961,0.0773,23.590727,333.635309,37.356322,0.0003,0.0012,0.3457,0.3209,0.0002,61.93,4,"['HU000C', 'RO0002', 'RO0007', 'RO000C']",SPORADIC,20260427233017_ZB8Um,True,20260427233017,20260427233017_ZB8Um,1
20260427234146_xo1vL,2026-04-27 23:41:46.708968,,37.35393,248.02075,7.18042,38.39145,0.950783,0.073747,25.286643,334.338586,37.363391,0.0012,0.0022,0.4296,0.4419,0.0002,83.58,6,"['CZ000C', 'CZ000Q', 'CZ000R', 'RO0002', 'RO0003', 'SK0006']",SPORADIC,20260427234146_xo1vL,True,20260427234146,20260427234146_xo1vL,1
20260428010436_aoUBc,2026-04-28 01:04:36.087123,,37.409847,247.62925,7.68781,38.31631,0.948057,0.079566,26.07822,333.162866,37.419097,0.0035,0.0031,1.8237,0.415,0.0009,69.68,3,"['UK003X', 'UK00A4', 'UK00B1']",SPORADIC,20260428010436_aoUBc,True,20260428010436,20260428010436_aoUBc,1
20260428020516_p8Fz4,2026-04-28 02:05:16.809681,,37.450814,246.73693,7.82324,38.80579,0.950253,0.084232,26.106662,331.706676,37.460923,0.0008,0.0039,0.5671,0.9368,0.0003,69.79,5,"['CZ0008', 'CZ000K', 'DE0016', 'SK0003', 'SK0004']",SPORADIC,20260428020516_p8Fz4,True,20260428020516,20260428020516_p8Fz4,1
20260428155051_Lzxyt,2026-04-28 15:50:51.167236,,38.008093,248.86851,7.35681,38.73318,0.953235,0.071274,26.676508,334.681881,38.012074,0.0015,0.002,1.862,0.3461,0.0006,52.62,3,"['NZ0033', 'NZ003W', 'NZ005F']",SPORADIC,20260428155051_Lzxyt,True,20260428155051,20260428155051_Lzxyt,1
20260429073857_2MQ6I,2026-04-29 07:38:57.731946,,38.647866,248.57257,7.77074,38.5194,0.949059,0.080831,26.30854,332.715331,38.657923,0.0002,0.0006,0.7195,0.1509,0.0003,48.93,2,"['NZ005C', 'NZ005T']",SPORADIC,20260429073857_2MQ6I,True,20260429073857,20260429073857_2MQ6I;20260429073857_EbHdf,2
20260429082223_258vb,2026-04-29 08:22:23.251871,,38.677163,251.64713,6.89172,37.43861,0.949675,0.062911,25.671462,337.61685,38.687831,0.0006,0.0009,0.594,0.1825,0.0003,58.31,2,"['CA002V', 'CA003E']",SPORADIC,20260429082223_258vb,True,20260429082223,20260429082223_258vb,1
20260429152208_hS3bh,2026-04-29 15:22:08.023615,,38.960325,249.12886,7.73965,37.2181,0.938932,0.086463,24.428843,332.58232,38.965518,0.0008,0.0012,0.6494,0.2161,0.0002,78.99,6,"['NZ001J', 'NZ0037', 'NZ003H', 'NZ005D', 'NZ005Z', 'NZ006M']",SPORADIC,20260429152208_hS3bh,True,20260429152208,20260429152208_hS3bh;20260429152208_vzwjo,2
20260429171643_xGAc2,2026-04-29 17:16:43.185640,,39.037616,249.33281,8.14965,39.37993,0.954985,0.075435,29.415672,333.346869,39.041384,0.0016,0.0014,3.7361,0.181,0.0011,93.62,3,"['NZ0012', 'NZ004F', 'NZ007B']",SPORADIC,20260429171643_xGAc2,True,20260429171643,20260429171643_xGAc2,1
20260430105609_U9pQ2,2026-04-30 10:56:09.463344,,39.752085,249.94177,9.18781,36.12714,0.9245,0.099975,26.385642,331.041527,39.759807,0.0035,0.0049,0.7097,0.8267,0.0002,46.6,3,"['NZ003H', 'NZ003W', 'NZ004J']",SPORADIC,20260430105609_U9pQ2,False,20260430105609,20260430105609_U9pQ2,1
20260430124302_Q3Sy7,2026-04-30 12:43:02.433106,,39.82415,251.69696,7.73132,34.83931,0.921692,0.089357,22.468649,334.148022,39.831927,0.0037,0.0023,1.4374,0.3307,0.0005,77.98,4,"['NZ002K', 'NZ002P', 'NZ004B', 'NZ004L']",SPORADIC,20260430124302_Q3Sy7,True,20260430124302,20260430124302_Q3Sy7,1
