unique_trajectory_identifier,beginning_utc_time,iau_code,sol_lon_deg,lamgeo_deg,betgeo_deg,vgeo_km_s,e,q_au,i_deg,peri_deg,node_deg,sigma_9,sigma_15,sigma_10,sigma_11,sigma_12,medianfiterr_arcsec,num_stat,participating_stations,label,event_id,canonical_target_member,timestamp_key,trajectory_ids,trajectory_count
20230428073717_SHtpX,2023-04-28 07:37:17.508671,,37.457155,247.07425,6.79864,39.44796,0.957914,0.073707,24.527438,333.405561,37.466825,0.001,0.0021,0.8943,0.4765,0.0004,52.59,2,"['CA000B', 'CA002L']",SPORADIC,20230428073717_SHtpX,True,20230428073717,20230428073717_SHtpX,1
20230428145855_COdzl,2023-04-28 14:58:55.535051,,37.755387,248.73158,6.06868,38.29228,0.953402,0.067848,22.058758,335.606194,37.762883,0.0039,0.0046,1.05,0.689,0.0003,49.74,3,"['AU000A', 'AU000G', 'AU0010']",SPORADIC,20230428145855_COdzl,True,20230428145855,20230428145855_COdzl,1
20230429090317_3F8rw,2023-04-29 09:03:17.453003,,38.487422,249.53706,6.51992,37.28628,0.944701,0.074892,22.007355,334.870586,38.497374,0.0081,0.0036,4.7892,1.7223,0.0022,93.26,2,"['USL00B', 'USL00D']",SPORADIC,20230429090317_3F8rw,True,20230429090317,20230429090317_3F8rw,1
20230429154713_gRlzV,2023-04-29 15:47:13.820517,,38.760031,248.46305,7.15444,37.82582,0.944744,0.083782,23.22196,332.517617,38.765124,0.001,0.0005,0.4057,0.0737,0.0001,69.37,7,"['NZ000D', 'NZ000K', 'NZ000M', 'NZ000N', 'NZ000V', 'NZ0011', 'NZ0020']",SPORADIC,20230429154713_gRlzV,True,20230429154713,20230429154713_gRlzV,1
20230429184359_ysYWk,2023-04-29 18:43:59.836778,,38.879313,248.53877,6.97311,41.62898,0.971933,0.063005,28.976512,334.408364,38.882159,0.0044,0.0047,1.6384,0.7325,0.0003,32.99,2,"['AU000C', 'AU0010']",SPORADIC,20230429184359_ysYWk,False,20230429184359,20230429184359_ysYWk,1
20230430035812_8CqK4,2023-04-30 03:58:12.740339,,39.25324,249.25675,5.66376,38.05417,0.950663,0.074474,19.439406,334.166964,39.266141,0.0026,0.0079,2.6693,1.7258,0.002,28.9,2,"['ES000L', 'ES000T']",SPORADIC,20230430035812_8CqK4,False,20230430035812,20230430035812_8CqK4,1
20230430112510_R3y4j,2023-04-30 11:25:10.052978,,39.554738,249.29755,7.29404,37.89602,0.945102,0.083606,23.773715,332.519708,39.562618,0.0002,0.0003,0.2055,0.0598,0.0001,73.76,2,"['NZ000L', 'NZ000V']",SPORADIC,20230430112510_R3y4j,True,20230430112510,20230430112510_R3y4j,1
20240426053939_W3Fc4,2024-04-26 05:39:39.914765,,36.151014,247.47523,7.68212,36.78791,0.937657,0.080779,24.808672,334.227061,36.160287,0.0004,0.0007,0.3943,0.1563,0.0002,40.27,3,"['CA000E', 'CA002L', 'CA0032']",SPORADIC,20240426053939_W3Fc4,True,20240426053939,20240426053939_W3Fc4,1
20240426065735_2hiJ2,2024-04-26 06:57:35.130766,,36.203654,247.76387,5.16727,38.35712,0.957017,0.060567,19.792214,337.18453,36.213866,0.0015,0.0086,3.6899,2.0977,0.0211,113.31,2,"['US000G', 'USL00Y']",SPORADIC,20240426065735_2hiJ2,False,20240426065735,20240426065735_2hiJ2,1
20240426080141_SvPi3,2024-04-26 08:01:41.330665,,36.246959,246.89633,6.15511,37.12275,0.943095,0.077395,20.266965,334.393161,36.259858,0.0037,0.0044,3.9598,0.6489,0.0014,132.48,2,"['CA001R', 'CA002H']",SPORADIC,20240426080141_SvPi3,True,20240426080141,20240426080141_SvPi3,1
20240426174706_dAiNC,2024-04-26 17:47:06.443101,,36.642392,247.7761,8.06791,35.02836,0.919762,0.095027,22.869711,332.884655,36.64786,0.008,0.0104,1.8128,1.7392,0.0007,103.33,4,"['NZ0010', 'NZ0019', 'NZ002F', 'NZ003V']",SPORADIC,20240426174706_dAiNC,True,20240426174706,20240426174706_dAiNC,1
20240426175119_GStop,2024-04-26 17:51:19.987291,,36.645246,247.81563,7.29773,36.77625,0.938382,0.080263,23.5678,334.269312,36.655876,0.0011,0.0018,0.8745,0.345,0.0004,31.57,2,"['KR000R', 'KR000Y']",SPORADIC,20240426175119_GStop,True,20240426175119,20240426175119_GStop,1
20240426234906_41XAG,2024-04-26 23:49:06.253113,,36.886871,249.19406,6.66329,36.83661,0.943708,0.069736,23.075373,336.472434,36.896612,0.0035,0.0054,0.9739,0.9947,0.0004,42.0,2,"['BE0005', 'FR000X']",SPORADIC,20240426234906_41XAG,True,20240426234906,20240426234906_41XAG,1
20240427171637_aJ6Zy,2024-04-27 17:16:37.156423,,37.59416,247.14709,6.28576,40.90001,0.968621,0.064231,25.165012,334.507729,37.603875,0.0017,0.0009,0.9001,0.1869,0.0003,22.45,2,"['KR0008', 'KR0023']",SPORADIC,20240427171637_aJ6Zy,False,20240427171637,20240427171637_aJ6Zy,1
20240428085039_OtjIt,2024-04-28 08:50:39.287934,,38.224626,247.44106,6.57689,38.95837,0.954272,0.078313,22.658486,332.691102,38.235243,0.0013,0.0015,6.0904,2.9017,3.0341,125.35,2,"['USL008', 'USL00D']",SPORADIC,20240428085039_OtjIt,True,20240428085039,20240428085039_OtjIt,1
20240428123539_T6Djd,2024-04-28 12:35:39.041305,,38.376468,249.12514,9.06675,36.69336,0.931047,0.091928,27.624616,332.206583,38.382186,0.0008,0.001,0.5683,0.2301,0.0001,83.95,4,"['NZ0014', 'NZ002N', 'NZ003E', 'NZ003R']",SPORADIC,20240428123539_T6Djd,True,20240428123539,20240428123539_T6Djd,1
20240428132311_4Rw3t,2024-04-28 13:23:11.025151,,38.408545,248.66954,7.45229,40.12267,0.961755,0.068547,28.646442,334.269204,38.414228,0.005,0.0102,0.747,2.1469,0.0002,41.98,3,"['NZ0007', 'NZ000B', 'NZ0029']",SPORADIC,20240428132311_4Rw3t,True,20240428132311,20240428132311_4Rw3t,1
20240428132723_YoJCh,2024-04-28 13:27:23.732129,,38.411387,248.28334,7.01228,37.59801,0.943397,0.083294,22.667321,332.811834,38.419003,0.0004,0.0012,0.4843,0.2979,0.0002,55.53,3,"['NZ0009', 'NZ000M', 'NZ0020']",SPORADIC,20240428132723_YoJCh,True,20240428132723,20240428132723_YoJCh,1
20240429005404_1ywsu,2024-04-29 00:54:04.258484,,38.87473,248.39617,7.26736,37.85142,0.944263,0.085445,23.382702,332.156559,38.885586,0.0065,0.0171,1.1965,3.4566,0.0006,56.62,2,"['CZ0009', 'CZ000F']",SPORADIC,20240429005404_1ywsu,True,20240429005404,20240429005404_1ywsu,1
20240429005752_ggjMN,2024-04-29 00:57:52.405668,,38.877295,248.955,6.82947,38.17536,0.948968,0.077593,23.225692,333.565191,38.887905,0.0018,0.0013,1.6622,0.133,0.0008,69.73,9,"['UK002F', 'UK003W', 'UK005E', 'UK005G', 'UK006B', 'UK006D', 'UK00AN', 'UK00B1', 'UK00BC']",SPORADIC,20240429005752_ggjMN,True,20240429005752,20240429005752_ggjMN,1
20240429085626_mNMgb,2024-04-29 08:56:26.532962,,39.200156,250.3728,7.73614,35.26074,0.923418,0.091709,22.448489,333.273934,39.212314,0.0006,0.0011,0.9935,0.1943,0.0007,54.64,4,"['US0038', 'US0039', 'US003N', 'US003P']",SPORADIC,20240429085626_mNMgb,True,20240429085626,20240429085626_mNMgb,1
20240429152411_ReB2Q,2024-04-29 15:24:11.144332,,39.461709,248.68586,7.37346,38.13281,0.945909,0.08644,23.781006,331.709541,39.467888,0.0018,0.0069,0.8611,1.9294,0.0003,59.23,2,"['NZ0020', 'NZ003Z']",SPORADIC,20240429152411_ReB2Q,True,20240429152411,20240429152411_ReB2Q,1
20240430044813_8cTT0,2024-04-30 04:48:13.624163,,40.003979,250.34563,7.57661,35.91741,0.928006,0.092771,22.239745,332.395305,40.012189,0.0002,0.0007,0.1693,0.1777,0.0001,67.71,3,"['US002X', 'US002Y', 'US004C']",SPORADIC,20240430044813_8cTT0,True,20240430044813,20240430044813_8cTT0,1
20250422084035_9oWPk,2025-04-22 08:40:35.616978,,32.122287,244.17353,6.55631,36.21747,0.937534,0.075307,21.417188,335.745896,32.132475,0.0066,0.0044,0.4873,0.3894,0.0002,58.82,2,"['USL00P', 'USL012']",SPORADIC,20250422084035_9oWPk,False,20250422084035,20250422084035_9oWPk,1
20250424014938_M20Bz,2025-04-24 01:49:38.278059,,33.79407,243.37025,7.7783,39.55997,0.955917,0.078233,27.511945,332.483706,33.802132,0.0075,0.0014,0.8547,0.8673,0.0003,48.49,2,"['ES000U', 'PT0002']",SPORADIC,20250424014938_M20Bz,True,20250424014938,20250424014938_M20Bz,1
20250424113355_orZBq,2025-04-24 11:33:55.038422,,34.189492,245.43165,7.4806,38.2332,0.949345,0.072481,26.549929,334.867234,34.196226,0.0035,0.0048,2.1091,0.8724,0.0006,80.09,4,"['NZ0023', 'NZ002Y', 'NZ003C', 'NZ003T']",SPORADIC,20250424113355_orZBq,True,20250424113355,20250424113355_orZBq,1
20250424205212_hkMYq,2025-04-24 20:52:12.815328,,34.567261,244.21314,8.25481,37.80698,0.940874,0.08985,26.029842,331.464788,34.575917,0.0022,0.0024,0.81,0.3341,0.0003,27.26,2,"['MY000C', 'MY000E']",SPORADIC,20250424205212_hkMYq,True,20250424205212,20250424205212_hkMYq,1
20250425061734_4DlAc,2025-04-25 06:17:34.281467,,34.949737,246.99617,6.75242,36.37856,0.938579,0.074962,22.259998,335.709493,34.95791,0.0017,0.0031,0.5386,0.6435,0.0002,49.97,4,"['US0003', 'US0005', 'US0009', 'US000H']",SPORADIC,20250425061734_4DlAc,True,20250425061734,20250425061734_4DlAc,1
