year,members,solar_longitude_deg,ra_deg,dec_deg,ra_sd_deg,dec_sd_deg,ra_se_deg,dec_se_deg
2022,10,37.681871,247.6431058,-14.394421900000001,1.3409159131631654,0.6033875607588748,0.424034843636016,0.19080790038112802
2023,8,37.358067875,247.214038625,-14.70869825,1.3728903238270533,0.8598353959712706,0.48539002890175226,0.3039977195977528
2024,14,38.029384071428574,247.9807507142857,-14.469986857142857,1.091259416649365,0.6668645457124601,0.2916513469423371,0.1782270466744768
2025,34,37.26801270588235,247.2544074705882,-14.266128499999999,1.56904450370564,0.7298033664719373,0.2690889124111472,0.1251602447821771
2026,29,36.34473703448276,246.5035231724138,-14.252364655172414,2.2201670935515967,0.5679635839488472,0.4122746792466261,0.10546818979363157
