fit_error_arcsec,minimum_stations,radiant_sigma_radius,time_half_width_deg,activity_table,odds_ratio,activity_p,members,members_by_year,represented_years,orbit_median_d,orbit_q90_d,maximum_cross_year_medoid_d,eligible,passed
240.0,3,3.5,5.0,"[[68, 9231], [40, 20828]]",3.8357274401473296,5.5826040275938405e-12,68,"{'2022': 4, '2023': 6, '2024': 9, '2025': 15, '2026': 34}",5,0.05430804848214881,0.1146541959934124,0.07038288063520268,True,True
240.0,4,2.5,3.0,"[[30, 3552], [11, 12304]]",9.447174447174447,7.552828495429309e-12,30,"{'2022': 3, '2023': 2, '2024': 3, '2025': 7, '2026': 15}",5,0.03752755757892528,0.0596826077372848,0.06054426272731777,True,True
240.0,4,2.5,4.0,"[[31, 4683], [11, 12304]]",7.404422184691243,6.734319597432397e-10,31,"{'2022': 3, '2023': 2, '2024': 3, '2025': 8, '2026': 15}",5,0.03865470729566165,0.06014608432042478,0.06054426272731777,True,True
240.0,4,2.5,5.0,"[[33, 5622], [11, 12304]]",6.565635005336179,3.614334947809477e-09,33,"{'2022': 3, '2023': 2, '2024': 3, '2025': 8, '2026': 17}",5,0.039180695706154726,0.08925916634875425,0.06054426272731777,True,True
240.0,4,3.0,3.0,"[[34, 3548], [20, 12295]]",5.891065388951522,2.1192530061709683e-10,34,"{'2022': 3, '2023': 2, '2024': 4, '2025': 8, '2026': 17}",5,0.04068116235840487,0.07617173393736883,0.07860297449804203,True,True
240.0,4,3.0,4.0,"[[35, 4679], [20, 12295]]",4.59847189570421,2.7696282067450616e-08,35,"{'2022': 3, '2023': 2, '2024': 4, '2025': 9, '2026': 17}",5,0.04218162901065501,0.08117260287595805,0.07860297449804203,True,True
240.0,4,3.0,5.0,"[[37, 5618], [20, 12295]]",4.04872730509078,2.086536005502478e-07,37,"{'2022': 3, '2023': 2, '2024': 4, '2025': 9, '2026': 19}",5,0.04821712959112441,0.0960731109318055,0.07860297449804203,True,True
240.0,4,3.5,3.0,"[[38, 3544], [29, 12286]]",4.542578033782206,1.4183971921167507e-09,38,"{'2022': 3, '2023': 2, '2024': 4, '2025': 8, '2026': 21}",5,0.04909485315624369,0.09951783950190499,0.07860297449804203,True,True
240.0,4,3.5,4.0,"[[43, 4671], [29, 12286]]",3.9000583202297374,1.2084953624194621e-08,43,"{'2022': 3, '2023': 3, '2024': 4, '2025': 10, '2026': 23}",5,0.05400528261844288,0.10638668973122477,0.08447124790785292,True,True
240.0,4,3.5,5.0,"[[47, 5608], [29, 12286]]",3.550605046977225,4.632439636442765e-08,47,"{'2022': 3, '2023': 3, '2024': 4, '2025': 10, '2026': 27}",5,0.05436311934042214,0.11632506493059841,0.08447124790785292,True,True
