delta_left_deg,delta_right_deg,delta_center_deg,solar_longitude_center_deg,stream_count,background_count,exposure_sufficient,fraction_mean,rate_per_1000_background,rate_low,rate_high,by_year,posterior_probability_above_baseline,excess_rate_per_1000_background
-18.0,-17.5,-17.75,19.151963000000002,1,853,True,0.0017543859649122807,1.7574692442882252,0.1263888348346483,5.489922763281362,"{""2022"": {""background"": 84, ""stream"": 0}, ""2023"": {""background"": 42, ""stream"": 0}, ""2024"": {""background"": 194, ""stream"": 1}, ""2025"": {""background"": 192, ""stream"": 0}, ""2026"": {""background"": 341, ""stream"": 0}}",0.43407773962153295,0.1536103356358285
-17.5,-17.0,-17.25,19.651963000000002,3,872,True,0.003995433789954338,4.011461318051576,0.9674894118390458,9.205368161499434,"{""2022"": {""background"": 46, ""stream"": 0}, ""2023"": {""background"": 95, ""stream"": 0}, ""2024"": {""background"": 151, ""stream"": 0}, ""2025"": {""background"": 309, ""stream"": 1}, ""2026"": {""background"": 271, ""stream"": 2}}",0.9028242866041478,2.4076024093991792
-17.0,-16.5,-16.75,20.151963000000002,2,790,True,0.0031525851197982345,3.1625553447185326,0.525390378931622,8.141981130892628,"{""2022"": {""background"": 66, ""stream"": 1}, ""2023"": {""background"": 48, ""stream"": 0}, ""2024"": {""background"": 299, ""stream"": 0}, ""2025"": {""background"": 141, ""stream"": 0}, ""2026"": {""background"": 236, ""stream"": 1}}",0.7710529812074607,1.558696436066136
-16.5,-16.0,-16.25,20.651963000000002,1,812,True,0.0018427518427518428,1.8461538461538463,0.13276507234414886,5.7676647887579096,"{""2022"": {""background"": 56, ""stream"": 0}, ""2023"": {""background"": 171, ""stream"": 0}, ""2024"": {""background"": 145, ""stream"": 0}, ""2025"": {""background"": 256, ""stream"": 0}, ""2026"": {""background"": 184, ""stream"": 1}}",0.4566164768036225,0.2422949375014496
-16.0,-15.5,-15.75,21.151963000000002,3,557,True,0.006238859180035651,6.278026905829597,1.513333818718169,14.432309803171554,"{""2022"": {""background"": 62, ""stream"": 0}, ""2023"": {""background"": 34, ""stream"": 0}, ""2024"": {""background"": 176, ""stream"": 2}, ""2025"": {""background"": 128, ""stream"": 0}, ""2026"": {""background"": 157, ""stream"": 1}}",0.9705036976179949,4.6741679971772
-15.5,-15.0,-15.25,21.651963000000002,4,716,True,0.0062413314840499305,6.28053035589672,1.881611193664445,13.330568306483878,"{""2022"": {""background"": 42, ""stream"": 2}, ""2023"": {""background"": 118, ""stream"": 0}, ""2024"": {""background"": 150, ""stream"": 0}, ""2025"": {""background"": 118, ""stream"": 1}, ""2026"": {""background"": 288, ""stream"": 1}}",0.9857410969791588,4.676671447244323
-15.0,-14.5,-14.75,22.151963000000002,1,781,True,0.0019157088122605363,1.9193857965451055,0.13803018522466592,5.9970639274649145,"{""2022"": {""background"": 12, ""stream"": 0}, ""2023"": {""background"": 63, ""stream"": 0}, ""2024"": {""background"": 202, ""stream"": 0}, ""2025"": {""background"": 127, ""stream"": 0}, ""2026"": {""background"": 377, ""stream"": 1}}",0.47427550643840466,0.3155268878927089
-14.5,-14.0,-14.25,22.651963000000002,2,606,True,0.004105090311986864,4.122011541632316,0.6846411475466078,10.622114291642601,"{""2022"": {""background"": 27, ""stream"": 0}, ""2023"": {""background"": 104, ""stream"": 1}, ""2024"": {""background"": 201, ""stream"": 0}, ""2025"": {""background"": 115, ""stream"": 1}, ""2026"": {""background"": 159, ""stream"": 0}}",0.8565210826044628,2.5181526329799198
-14.0,-13.5,-13.75,23.151963000000002,0,649,True,0.0007692307692307692,0.7698229407236336,0.0007563106782594473,3.876485499536151,"{""2022"": {""background"": 38, ""stream"": 0}, ""2023"": {""background"": 51, ""stream"": 0}, ""2024"": {""background"": 142, ""stream"": 0}, ""2025"": {""background"": 40, ""stream"": 0}, ""2026"": {""background"": 378, ""stream"": 0}}",0.14914803629584675,0.0
-13.5,-13.0,-13.25,23.651963000000002,5,729,True,0.007482993197278911,7.539410555174777,2.610685477282833,15.090649335556082,"{""2022"": {""background"": 38, ""stream"": 0}, ""2023"": {""background"": 138, ""stream"": 1}, ""2024"": {""background"": 214, ""stream"": 2}, ""2025"": {""background"": 87, ""stream"": 0}, ""2026"": {""background"": 252, ""stream"": 2}}",0.9968677245702254,5.935551646522381
-13.0,-12.5,-12.75,24.151963000000002,0,763,True,0.0006544502617801048,0.6548788474132287,0.0006433471211150383,3.2965356260023584,"{""2022"": {""background"": 27, ""stream"": 0}, ""2023"": {""background"": 101, ""stream"": 0}, ""2024"": {""background"": 203, ""stream"": 0}, ""2025"": {""background"": 91, ""stream"": 0}, ""2026"": {""background"": 341, ""stream"": 0}}",0.11780003153394512,0.0
-12.5,-12.0,-12.25,24.651963000000002,1,831,True,0.001800720288115246,1.803968731208659,0.12973206916388455,5.6355410965473105,"{""2022"": {""background"": 16, ""stream"": 0}, ""2023"": {""background"": 162, ""stream"": 0}, ""2024"": {""background"": 334, ""stream"": 0}, ""2025"": {""background"": 108, ""stream"": 0}, ""2026"": {""background"": 211, ""stream"": 1}}",0.44605651232832644,0.2001098225562623
-12.0,-11.5,-11.75,25.151963000000002,0,781,True,0.0006393861892583121,0.6397952655150352,0.0006285244003225751,3.22046129835355,"{""2022"": {""background"": 27, ""stream"": 0}, ""2023"": {""background"": 54, ""stream"": 0}, ""2024"": {""background"": 174, ""stream"": 0}, ""2025"": {""background"": 75, ""stream"": 0}, ""2026"": {""background"": 451, ""stream"": 0}}",0.11355594138951355,0.0
-11.5,-11.0,-11.25,25.651963000000002,0,832,True,0.0006002400960384153,0.6006006006006006,0.0005900086287576516,3.022814598221949,"{""2022"": {""background"": 23, ""stream"": 0}, ""2023"": {""background"": 147, ""stream"": 0}, ""2024"": {""background"": 323, ""stream"": 0}, ""2025"": {""background"": 133, ""stream"": 0}, ""2026"": {""background"": 206, ""stream"": 0}}",0.10241776311024516,0.0
-11.0,-10.5,-10.75,26.151963000000002,1,822,True,0.0018203883495145632,1.8237082066869301,0.13115129173568627,5.6973631625858765,"{""2022"": {""background"": 11, ""stream"": 0}, ""2023"": {""background"": 71, ""stream"": 0}, ""2024"": {""background"": 134, ""stream"": 0}, ""2025"": {""background"": 90, ""stream"": 0}, ""2026"": {""background"": 516, ""stream"": 1}}",0.4510337299140317,0.21984929803453346
-10.5,-10.0,-10.25,26.651963000000002,0,777,True,0.0006426735218508997,0.6430868167202571,0.0006317590071233774,3.2370617086370013,"{""2022"": {""background"": 26, ""stream"": 0}, ""2023"": {""background"": 86, ""stream"": 0}, ""2024"": {""background"": 362, ""stream"": 0}, ""2025"": {""background"": 129, ""stream"": 0}, ""2026"": {""background"": 174, ""stream"": 0}}",0.11448428299498038,0.0
-10.0,-9.5,-9.75,27.151963000000002,2,624,True,0.003987240829346092,4.00320256204964,0.6649247900714969,10.314747106636506,"{""2022"": {""background"": 16, ""stream"": 0}, ""2023"": {""background"": 58, ""stream"": 0}, ""2024"": {""background"": 147, ""stream"": 0}, ""2025"": {""background"": 101, ""stream"": 0}, ""2026"": {""background"": 302, ""stream"": 2}}",0.8485888633715915,2.399343653397243
-9.5,-9.0,-9.25,27.651963000000002,0,968,True,0.0005159958720330237,0.5162622612287041,0.0005071362424221956,2.5976804249044703,"{""2022"": {""background"": 41, ""stream"": 0}, ""2023"": {""background"": 101, ""stream"": 0}, ""2024"": {""background"": 395, ""stream"": 0}, ""2025"": {""background"": 128, ""stream"": 0}, ""2026"": {""background"": 303, ""stream"": 0}}",0.07812968690532285,0.0
-9.0,-8.5,-8.75,28.151963000000002,2,651,True,0.00382262996941896,3.837298541826554,0.6373913125228056,9.885661690001864,"{""2022"": {""background"": 23, ""stream"": 0}, ""2023"": {""background"": 111, ""stream"": 0}, ""2024"": {""background"": 123, ""stream"": 0}, ""2025"": {""background"": 142, ""stream"": 0}, ""2026"": {""background"": 252, ""stream"": 2}}",0.836478278161336,2.2334396331741573
-8.5,-8.0,-8.25,28.651963000000002,3,943,True,0.003695881731784583,3.7095919448860624,0.8947478835772529,8.510627594730238,"{""2022"": {""background"": 49, ""stream"": 1}, ""2023"": {""background"": 93, ""stream"": 0}, ""2024"": {""background"": 301, ""stream"": 1}, ""2025"": {""background"": 185, ""stream"": 0}, ""2026"": {""background"": 315, ""stream"": 1}}",0.8823942160147508,2.1057330362336657
-8.0,-7.5,-7.75,29.151963000000002,0,733,True,0.0006811989100817438,0.6816632583503749,0.0006696688638981017,3.43164034675572,"{""2022"": {""background"": 18, ""stream"": 0}, ""2023"": {""background"": 189, ""stream"": 0}, ""2024"": {""background"": 68, ""stream"": 0}, ""2025"": {""background"": 81, ""stream"": 0}, ""2026"": {""background"": 377, ""stream"": 0}}",0.12526893093909214,0.0
-7.5,-7.0,-7.25,29.651963000000002,0,805,True,0.0006203473945409429,0.6207324643078833,0.0006097915984223042,3.1243275948664286,"{""2022"": {""background"": 38, ""stream"": 0}, ""2023"": {""background"": 115, ""stream"": 0}, ""2024"": {""background"": 117, ""stream"": 0}, ""2025"": {""background"": 255, ""stream"": 0}, ""2026"": {""background"": 280, ""stream"": 0}}",0.10815701831932574,0.0
-7.0,-6.5,-6.75,30.151963000000002,2,693,True,0.0035919540229885057,3.604902667627974,0.5988195057193503,9.284840240097056,"{""2022"": {""background"": 18, ""stream"": 1}, ""2023"": {""background"": 119, ""stream"": 0}, ""2024"": {""background"": 101, ""stream"": 0}, ""2025"": {""background"": 222, ""stream"": 1}, ""2026"": {""background"": 233, ""stream"": 0}}",0.8171916983886743,2.001043758975577
