CurNum,Tobs,RA,DE,VG,LS,LO,LA,SCLO,Sode
00050,2025-04-28-02:29:50,247.091716,-14.736498,39.0362,37.716079,247.71352,6.94796,209.997441,GMN trajectory catalogue
00051,2025-04-28-03:46:14,248.291964,-14.511482,38.93427,37.76768,248.83584,7.34708,211.06816,GMN trajectory catalogue
00052,2025-04-28-06:09:58,248.0666,-14.342601,38.60749,37.864768,248.59281,7.48153,210.728042,GMN trajectory catalogue
00053,2025-04-28-06:32:43,247.566341,-14.310715,38.30469,37.880139,248.10474,7.43963,210.224601,GMN trajectory catalogue
00054,2025-04-28-07:44:46,247.764318,-14.428191,37.95809,37.928809,248.31393,7.35276,210.385121,GMN trajectory catalogue
00055,2025-04-28-16:58:03,247.209178,-14.953069,38.99637,38.302471,247.86042,6.75169,209.557949,GMN trajectory catalogue
00056,2025-04-28-19:31:44,248.592323,-14.938169,35.65278,38.406249,249.18877,6.96784,210.782521,GMN trajectory catalogue
00057,2025-04-28-20:37:53,248.446601,-14.392931,39.01224,38.450916,248.96751,7.48647,210.516594,GMN trajectory catalogue
00058,2025-04-29-00:18:47,247.514964,-15.037404,39.00217,38.600068,248.16738,6.7139,209.567312,GMN trajectory catalogue
00059,2025-04-29-04:40:16,249.212458,-15.05264,37.43023,38.776609,249.80255,6.94097,211.025941,GMN trajectory catalogue
00060,2025-04-29-05:16:26,248.650984,-14.464849,37.31712,38.801026,249.17562,7.44437,210.374594,GMN trajectory catalogue
00061,2025-04-29-06:16:07,248.306966,-13.080267,38.53481,38.841312,248.63566,8.76458,209.794348,GMN trajectory catalogue
00062,2025-04-29-07:10:25,247.961638,-14.565527,36.58472,38.87797,248.52524,7.24587,209.64727,GMN trajectory catalogue
00063,2025-04-29-20:56:04,249.469673,-14.515874,37.59731,39.435264,249.97418,7.50752,210.538916,GMN trajectory catalogue
00064,2025-04-29-21:46:58,248.878834,-14.804401,38.2375,39.469616,249.44524,7.14044,209.975624,GMN trajectory catalogue
00065,2025-04-29-22:45:26,249.232157,-15.214921,37.19999,39.509065,249.84474,6.78304,210.335675,GMN trajectory catalogue
00066,2025-04-30-17:31:53,249.552131,-14.770648,37.80229,40.269068,250.0899,7.26647,209.820832,GMN trajectory catalogue
00067,2026-04-23-11:20:20,241.843215,-13.639919,37.10128,32.95845,242.47275,7.14917,209.5143,GMN trajectory catalogue
00068,2026-04-23-14:23:39,242.325429,-14.293386,39.90538,33.082562,243.05919,6.59508,209.976628,GMN trajectory catalogue
00069,2026-04-23-23:08:53,244.120307,-13.387539,40.04975,33.43808,244.622,7.8008,211.18392,GMN trajectory catalogue
00070,2026-04-24-14:34:43,243.627113,-14.097562,39.46463,34.064564,244.27296,7.01732,210.208396,GMN trajectory catalogue
00071,2026-04-24-14:52:24,245.282271,-14.19044,37.3715,34.076524,245.88221,7.20327,211.805686,GMN trajectory catalogue
00072,2026-04-24-18:00:50,244.740588,-13.848408,35.51842,34.203999,245.30157,7.45132,211.097571,GMN trajectory catalogue
00073,2026-04-25-11:35:33,244.945607,-13.223944,36.26493,34.917334,245.39223,8.10064,210.474896,GMN trajectory catalogue
00074,2026-04-25-15:46:34,244.609651,-15.294834,37.39994,35.087058,245.4254,6.00457,210.338342,GMN trajectory catalogue
00075,2026-04-25-16:46:49,244.296399,-13.640814,38.25752,35.127783,244.83675,7.58132,209.708967,GMN trajectory catalogue
00076,2026-04-25-20:16:37,246.20803,-13.84789,36.65437,35.269628,246.71872,7.68915,211.449092,GMN trajectory catalogue
00077,2026-04-26-10:51:34,246.022336,-13.61133,36.69419,35.861002,246.50026,7.89324,210.639258,GMN trajectory catalogue
00078,2026-04-26-12:37:12,246.058535,-14.434318,35.81465,35.93238,246.67045,7.08697,210.73807,GMN trajectory catalogue
00079,2026-04-26-16:12:34,247.342499,-13.991326,35.99329,36.077907,247.83881,7.72182,211.760903,GMN trajectory catalogue
00080,2026-04-27-00:20:38,247.238069,-14.910988,38.67146,36.407657,247.88162,6.79759,211.473963,GMN trajectory catalogue
00081,2026-04-27-09:14:45,245.672729,-14.671521,37.15313,36.768446,246.3385,6.79179,209.570054,GMN trajectory catalogue
00082,2026-04-27-11:02:09,247.745678,-13.711723,37.14076,36.840979,248.18603,8.05816,211.345051,GMN trajectory catalogue
00083,2026-04-27-14:02:45,246.795717,-14.66114,37.96354,36.962943,247.41674,6.97745,210.453797,GMN trajectory catalogue
00084,2026-04-27-17:28:36,247.655576,-14.881819,37.53124,37.101956,248.27865,6.88841,211.176694,GMN trajectory catalogue
00085,2026-04-27-17:28:53,247.839162,-14.854932,37.20834,37.102146,248.45121,6.94191,211.349064,GMN trajectory catalogue
00086,2026-04-27-23:30:17,246.889377,-14.732721,38.18236,37.346172,247.51823,6.92104,210.172058,GMN trajectory catalogue
00087,2026-04-27-23:41:46,247.440266,-14.554071,38.39145,37.35393,248.02075,7.18042,210.66682,GMN trajectory catalogue
00088,2026-04-28-01:04:36,247.125634,-13.992667,38.31631,37.409847,247.62925,7.68781,210.219403,GMN trajectory catalogue
00089,2026-04-28-02:05:16,246.248705,-13.718487,38.80579,37.450814,246.73693,7.82324,209.286116,GMN trajectory catalogue
00090,2026-04-28-15:50:51,248.326553,-14.506662,38.73318,38.008093,248.86851,7.35681,210.860417,GMN trajectory catalogue
00091,2026-04-29-07:38:57,248.090837,-14.05365,38.5194,38.647866,248.57257,7.77074,209.924704,GMN trajectory catalogue
00092,2026-04-29-08:22:23,251.085428,-15.350585,37.43861,38.677163,251.64713,6.89172,212.969967,GMN trajectory catalogue
00093,2026-04-29-15:22:08,248.862267,-14.901769,37.47298,38.960325,249.44345,7.04178,210.483125,GMN trajectory catalogue
00094,2026-04-29-17:16:43,248.915546,-13.789681,39.37993,39.037616,249.33281,8.14965,210.295194,GMN trajectory catalogue
00095,2026-04-30-12:43:02,251.248648,-14.524449,34.83931,39.82415,251.69696,7.73132,211.87281,GMN trajectory catalogue
